,6,5,4,3,2,1,0
0,0,0,0,1,1,1,1
1,0,0,0,0,0,0,0
2,0,0,0,0,1,1,1
3,0,0,0,1,1,1,1
4,0,0,0,1,1,1,1
5,0,0,0,1,1,1,1
6,0,0,0,1,1,1,1
7,0,0,0,1,1,1,1
8,0,0,0,1,1,1,1
9,1,1,1,1,0,0,1
10,0,0,0,1,1,1,1
11,1,1,1,0,1,1,1
12,0,0,0,1,1,1,1
13,0,0,0,1,1,1,1
14,0,0,0,1,1,1,1
15,0,0,0,1,1,1,1
16,0,0,0,1,1,1,1
17,0,0,0,0,0,0,0
18,0,0,0,1,1,1,1
19,0,0,0,1,0,0,0
20,0,0,0,1,1,1,1
21,1,1,1,1,1,1,1
22,0,0,0,1,1,1,1
23,0,0,0,1,1,1,1
24,0,0,0,1,1,1,1
25,0,0,0,1,1,1,1
26,0,0,0,0,1,1,1
27,0,0,0,1,1,1,1
28,0,0,0,1,1,1,1
29,0,0,0,1,1,1,1
30,1,1,1,1,1,1,1
31,0,0,0,1,1,1,1
32,0,0,0,1,1,1,1
33,1,1,1,0,1,1,1
34,0,0,0,1,1,1,1
35,0,0,0,1,1,1,1
36,0,0,0,1,1,1,1
37,1,0,0,1,1,1,1
38,0,0,0,1,1,1,1
39,0,0,0,1,1,1,1
40,0,0,0,1,1,1,1
41,0,0,0,0,0,0,1
42,0,0,0,1,1,1,1
43,0,0,0,1,0,0,0
44,0,0,0,1,1,1,1
45,0,0,0,1,1,1,1
46,0,0,0,1,1,1,1
47,0,0,0,1,0,0,0
48,0,0,0,1,1,1,1
49,0,0,0,1,1,1,1
50,0,0,0,1,1,1,1
51,0,0,0,1,0,0,1
52,0,0,0,1,1,1,1
53,0,0,0,1,1,1,1
54,0,0,0,1,1,1,1
55,1,1,1,1,0,0,0
56,0,0,0,1,1,1,1
57,1,1,1,1,0,0,0
58,1,1,1,1,1,1,1
59,0,0,0,0,0,0,1
60,1,1,1,1,1,1,1
61,1,1,1,1,1,1,1
62,0,0,0,1,1,0,0
63,0,0,0,1,1,1,1
64,0,0,0,1,1,1,1
65,0,0,0,1,1,1,1
66,0,0,0,1,1,1,1
67,0,0,0,1,1,1,1
68,1,1,1,1,1,1,1
69,0,0,0,1,1,1,1
70,0,0,0,1,1,1,1
71,0,0,0,1,1,1,1
72,1,1,1,1,1,1,1
73,0,0,0,0,1,1,1
74,0,0,0,1,1,1,1
75,0,0,0,1,1,1,1
76,0,0,0,1,1,1,1
77,0,0,0,1,1,1,1
78,0,1,0,1,1,1,1
79,1,1,1,1,1,1,1
80,0,0,0,1,1,1,1
81,0,0,0,1,1,1,1
82,0,0,0,1,1,1,1
83,0,0,0,1,1,1,1
84,0,0,0,1,0,0,0
85,0,0,0,1,1,1,1
86,0,0,0,1,1,1,1
87,1,1,1,1,1,1,1
88,0,0,0,1,1,1,1
89,0,0,0,1,1,0,0
90,0,0,0,1,1,1,1
91,0,0,0,1,1,1,1
92,0,0,0,1,1,1,1
93,0,0,0,1,1,1,1
94,0,0,0,1,1,1,1
95,0,0,0,1,1,1,1
