,1,0
0,1,1
1,0,2
2,0,2
3,1,2
4,1,2
5,1,2
6,1,2
7,1,2
8,1,2
9,1,2
10,1,2
11,2,1
12,1,2
13,1,2
14,1,2
15,1,2
16,1,2
17,1,2
18,1,1
19,1,2
20,1,2
21,1,2
22,0,2
23,1,0
24,1,2
25,1,2
26,1,2
27,1,1
28,1,2
29,1,2
30,1,2
31,1,2
32,1,2
33,1,2
34,1,2
35,1,2
36,1,0
37,1,2
38,1,2
39,1,1
40,1,2
41,1,2
42,1,2
43,1,2
44,1,1
45,1,2
46,3,0
47,2,1
48,1,2
49,3,0
50,1,2
51,1,2
52,1,1
53,1,2
54,1,2
55,1,2
56,1,2
57,1,2
58,1,2
59,1,2
60,3,0
61,1,2
62,1,0
63,1,1
64,1,2
65,3,0
66,2,1
67,1,2
68,1,2
69,1,2
70,1,2
71,1,2
72,0,2
73,1,2
74,3,0
75,1,2
76,0,2
77,1,2
78,3,0
79,1,1
80,2,1
81,1,2
82,1,2
83,3,0
84,1,0
85,1,2
86,0,2
87,0,2
88,1,2
89,1,2
90,1,2
91,1,2
92,1,2
93,3,2
94,1,2
95,1,1
96,1,1
97,1,2
98,1,2
99,1,2
100,1,2
101,3,0
102,1,2
103,1,2
104,1,2
105,1,2
106,1,2
107,1,2
108,1,1
109,1,2
110,1,2
111,1,0
112,1,2
113,0,2
114,1,1
115,1,2
116,1,2
117,1,1
118,1,2
119,1,2
120,1,2
121,0,2
122,1,2
123,1,2
124,1,2
125,1,2
126,1,2
127,1,2
128,1,2
129,1,2
130,1,2
131,1,1
132,1,2
133,1,2
134,1,2
135,1,2
136,1,2
137,1,2
138,1,2
139,1,2
140,1,2
141,1,2
142,1,2
143,1,2
144,1,2
145,1,1
146,1,2
147,1,2
148,1,2
149,1,1
150,1,1
151,1,2
152,1,2
153,1,1
154,1,2
155,3,0
156,1,2
157,1,2
158,1,2
159,1,2
160,1,1
161,1,2
162,1,2
163,1,2
164,1,2
165,1,2
166,1,2
167,1,2
168,1,2
169,1,2
170,1,2
171,1,2
172,1,0
173,1,2
174,1,1
175,1,2
176,1,2
177,1,2
178,1,2
179,1,0
180,1,2
181,1,1
182,1,2
183,1,2
184,1,2
185,1,2
186,1,2
187,1,1
188,1,2
189,1,2
190,1,2
191,1,2
192,1,2
193,1,2
194,1,1
195,1,2
196,1,2
197,1,2
198,1,1
199,1,2
200,1,2
201,1,2
202,1,2
203,1,2
204,1,1
205,1,2
206,3,1
207,3,0
208,1,2
209,1,2
210,0,2
211,1,2
212,1,2
213,1,2
214,1,2
215,1,2
216,1,2
217,1,2
218,1,2
219,1,2
220,1,2
221,1,2
222,1,2
223,1,2
224,3,0
225,1,2
226,1,1
227,1,2
228,1,2
229,1,2
230,1,2
231,1,2
232,1,2
233,1,2
234,1,2
235,1,2
236,1,2
237,1,2
238,1,2
239,3,0
240,1,2
241,1,2
242,1,2
243,1,2
244,1,2
245,3,0
246,1,2
247,3,0
248,1,2
249,1,2
250,1,2
251,1,2
252,1,2
253,1,1
254,1,2
255,1,2
256,1,2
257,0,1
258,1,2
259,0,2
260,1,2
261,1,2
262,1,2
263,1,2
264,1,1
265,0,2
266,1,2
267,0,2
268,1,2
269,1,2
270,1,1
271,1,2
272,1,2
273,3,0
274,3,0
275,1,2
276,1,2
277,1,2
278,1,2
279,1,2
280,1,2
281,1,2
282,1,2
283,1,2
284,2,1
285,1,2
286,1,2
287,1,1
288,1,1
289,1,2
290,1,2
291,1,2
292,1,2
293,1,2
294,1,2
295,1,2
296,1,2
297,1,2
298,1,2
299,1,2
300,1,2
301,1,2
302,1,2
303,1,2
304,1,1
305,1,2
306,1,2
307,1,2
308,1,0
309,1,2
310,3,0
311,1,0
312,1,2
313,2,1
314,1,2
315,1,2
316,1,1
317,2,1
318,1,2
319,2,1
320,1,1
321,1,2
322,1,2
323,1,2
324,1,2
325,1,2
326,1,2
327,1,2
328,2,1
329,3,0
330,1,2
331,1,2
332,1,2
333,1,2
334,1,2
335,1,2
336,1,1
337,1,2
338,1,2
339,1,2
340,1,2
341,1,2
342,1,2
343,1,2
344,1,2
345,1,2
346,1,2
347,1,2
348,1,2
349,1,2
350,1,2
351,0,2
352,1,2
353,1,2
354,1,2
355,1,2
356,1,2
357,1,2
358,3,0
359,2,1
360,1,2
361,1,2
362,3,0
363,1,2
364,1,2
365,1,2
366,1,2
367,1,2
368,3,0
369,1,2
370,3,0
371,1,2
372,1,1
373,1,2
374,1,2
375,1,1
376,1,2
377,1,2
378,1,2
379,1,2
380,1,2
381,1,2
382,3,0
383,3,0
384,1,2
385,1,2
386,1,2
387,0,2
388,1,2
389,1,2
390,1,2
391,1,1
392,1,2
393,1,2
394,1,2
395,1,2
396,3,1
397,1,2
398,1,2
399,1,2
400,1,2
401,2,0
402,1,2
403,1,2
404,1,2
405,0,2
406,1,2
407,3,0
408,1,2
409,1,2
410,1,2
411,1,2
412,1,2
413,1,2
414,1,2
415,2,1
416,1,2
417,1,2
418,0,2
419,1,1
420,1,2
421,1,2
422,0,2
423,1,2
424,1,1
425,1,2
426,1,2
427,0,2
428,1,2
429,2,1
430,3,0
431,1,2
432,1,2
433,1,0
434,1,2
435,1,2
436,1,2
437,1,2
438,1,2
439,1,2
440,1,2
441,1,2
442,3,0
443,1,2
444,1,1
445,1,2
446,1,2
447,1,2
448,1,2
449,1,1
450,1,1
451,3,0
452,1,2
453,1,2
454,1,2
455,1,2
456,1,2
457,2,1
458,1,2
459,1,2
460,1,2
461,1,2
462,2,1
463,1,2
464,1,2
465,1,2
466,1,2
467,1,2
468,1,2
469,1,1
470,1,2
471,2,1
472,1,2
473,3,0
474,2,1
475,1,2
476,1,2
477,3,0
478,1,1
479,1,1
480,1,2
481,1,2
482,1,1
483,1,2
484,1,2
485,1,2
486,1,2
487,3,0
488,0,2
489,1,2
490,1,2
491,1,2
492,1,2
493,1,2
494,1,2
495,1,1
496,1,2
497,1,1
498,1,2
499,1,2
500,1,2
501,1,2
502,1,2
503,1,2
504,2,1
505,1,1
506,1,0
507,3,0
508,3,1
509,1,2
510,1,2
511,1,2
512,1,2
513,1,2
514,1,2
515,1,2
516,1,2
517,1,2
518,1,2
519,3,0
520,1,2
521,1,2
522,1,2
523,1,2
524,1,1
525,1,2
526,1,2
527,1,1
528,1,1
529,0,2
530,1,2
531,1,1
532,1,2
533,1,2
534,1,1
535,1,2
536,1,2
537,1,2
538,1,2
539,1,2
540,1,2
541,1,2
542,1,2
543,1,2
544,1,2
545,1,2
546,1,2
547,1,0
548,1,2
549,1,1
550,1,2
551,0,2
552,1,1
553,0,2
554,3,2
555,1,2
556,1,2
557,1,2
558,1,2
559,1,2
560,1,2
561,1,2
562,1,2
563,2,1
564,3,0
565,1,0
566,1,0
567,1,2
568,1,2
569,1,2
570,1,2
571,1,2
572,1,2
573,1,2
574,1,2
575,1,2
576,1,2
577,1,2
578,1,2
579,1,2
580,1,2
581,1,1
582,1,2
583,1,2
584,1,2
585,1,2
586,1,2
587,1,2
588,1,2
589,3,0
590,1,2
591,1,2
592,0,2
593,0,2
594,3,0
595,1,2
596,1,2
597,2,1
598,1,1
599,1,1
600,2,1
601,3,0
602,1,2
603,1,1
604,1,2
605,1,2
606,1,2
607,1,2
608,1,2
609,1,2
610,0,2
611,1,2
612,1,2
613,1,2
614,1,2
615,3,0
616,3,0
617,1,2
618,1,2
619,0,2
620,1,2
621,1,2
622,1,1
623,1,2
624,1,1
625,1,2
626,1,2
627,1,1
628,1,2
629,1,0
630,1,2
631,1,2
632,1,2
