,1,0
0,2,1
1,2,1
2,2,0
3,0,1
4,2,1
5,2,1
6,2,1
7,2,0
8,2,0
9,2,0
10,2,0
11,2,1
12,2,1
13,2,1
14,2,1
15,2,1
16,2,0
17,3,0
18,2,1
19,2,1
20,2,1
21,2,0
22,2,1
23,2,0
24,2,1
25,2,1
26,2,1
27,2,1
28,2,0
29,3,0
30,2,1
31,2,1
32,2,1
33,3,0
34,2,1
35,2,1
36,2,1
37,2,1
38,3,0
39,2,1
40,2,0
41,2,0
42,3,0
43,2,1
44,2,0
45,2,1
46,2,1
47,2,1
48,2,1
49,2,0
50,2,1
51,2,1
52,2,1
53,2,1
54,2,1
55,2,1
56,2,1
57,2,1
58,3,0
59,2,1
60,2,0
61,3,0
62,2,1
63,2,1
64,2,1
65,2,1
66,2,1
67,2,0
68,2,1
69,0,1
70,0,1
71,3,0
72,2,0
73,2,1
74,2,1
75,2,1
76,2,1
77,2,1
78,2,0
79,2,1
80,2,1
81,2,1
82,0,1
83,2,1
84,3,0
85,2,1
86,2,1
87,2,0
88,2,1
89,3,0
90,2,1
91,2,1
92,3,0
93,2,1
94,2,1
95,2,1
96,3,0
97,2,0
98,2,1
99,2,1
100,2,0
101,2,1
102,2,1
103,2,1
104,2,1
105,2,1
106,2,0
107,2,1
108,2,0
109,2,1
110,2,0
111,2,1
112,2,0
113,3,0
114,3,0
115,2,1
116,2,1
117,2,0
118,2,1
119,2,1
120,3,0
121,3,0
122,2,1
123,2,1
124,2,1
125,2,1
126,2,1
127,2,1
128,2,1
129,2,1
130,3,0
131,2,0
132,2,1
133,2,1
134,2,1
135,2,0
136,0,1
137,2,1
138,2,1
139,2,1
140,2,1
141,1,1
142,2,0
143,2,1
144,2,1
145,0,1
146,0,0
147,2,1
148,2,1
149,2,1
150,2,0
151,2,1
152,2,1
153,2,0
154,2,1
155,2,1
156,2,0
157,2,1
158,2,0
159,2,1
160,2,1
161,2,0
162,2,1
163,2,1
164,3,0
165,2,1
166,2,1
167,2,1
168,2,0
169,0,1
170,2,1
171,2,1
172,2,1
173,2,1
174,2,1
175,2,1
176,2,1
177,2,1
178,2,1
179,3,0
180,2,1
181,2,1
182,3,0
183,2,1
184,2,1
185,2,1
186,2,1
187,2,1
188,2,0
189,0,1
190,2,1
191,2,1
192,2,0
193,2,1
194,3,0
195,0,0
196,2,1
197,2,1
198,2,0
199,0,1
200,2,1
201,2,1
202,2,1
203,2,1
204,2,1
205,3,0
206,2,1
207,2,1
208,2,1
209,2,1
210,2,1
211,2,1
212,2,1
213,2,0
214,2,1
215,2,1
216,2,1
217,2,1
218,2,1
219,2,1
220,2,1
221,2,0
222,2,1
223,2,1
224,2,1
225,3,0
226,3,0
227,2,0
228,2,1
229,2,0
230,0,1
231,3,0
232,2,1
233,2,1
234,2,1
235,3,0
236,2,1
237,2,1
238,2,1
239,2,1
240,2,1
241,2,1
242,2,1
243,2,1
244,2,1
245,2,1
246,2,1
247,2,1
248,2,1
249,2,1
250,2,1
251,2,1
252,3,0
253,2,1
254,2,1
255,2,0
256,2,1
257,2,1
258,2,1
259,2,0
260,2,0
261,2,1
262,2,0
263,3,1
264,2,1
265,0,1
266,2,1
267,2,0
268,2,0
269,2,1
270,2,1
271,3,0
272,2,1
273,2,0
274,0,0
275,0,1
276,2,1
277,2,1
278,2,1
279,2,1
280,3,1
281,2,1
282,3,0
283,2,1
284,2,1
285,3,0
286,2,0
287,2,1
288,2,1
289,2,1
290,2,1
291,2,1
292,2,0
293,2,0
294,3,0
295,2,1
296,2,1
297,2,0
298,2,1
299,2,0
300,2,1
301,2,1
302,2,1
303,3,0
304,2,1
305,2,1
306,2,1
307,2,0
308,2,1
309,2,1
