,1,0
0,0,1
1,0,2
2,0,2
3,0,2
4,0,2
5,0,2
6,0,2
7,0,2
8,0,2
9,0,2
10,0,2
11,0,2
12,0,2
13,0,2
14,0,2
15,0,1
16,0,2
17,0,2
18,0,2
19,0,2
20,0,2
21,0,2
22,0,2
23,0,1
24,0,2
25,0,2
26,0,1
27,0,2
28,1,1
29,0,2
30,0,1
31,0,1
32,0,2
33,0,2
34,0,2
35,0,2
36,0,1
37,0,2
38,0,1
39,0,2
40,0,2
41,0,2
42,0,2
43,0,1
44,0,2
45,0,2
46,0,2
47,0,2
48,0,2
49,0,1
50,0,1
51,0,2
52,0,1
53,0,2
54,0,1
55,0,2
56,0,2
57,0,2
58,0,1
59,0,1
60,0,2
61,1,2
62,0,2
63,0,2
64,0,1
65,0,2
66,0,2
67,0,2
68,0,2
69,0,1
70,0,2
71,0,2
72,0,1
73,0,2
74,0,1
75,0,2
76,0,1
77,0,1
78,0,2
79,0,2
80,0,2
81,0,2
82,0,2
83,0,2
84,0,2
85,0,2
86,0,2
87,0,2
88,0,1
89,0,2
90,0,1
91,0,2
92,0,2
93,0,2
94,0,2
95,0,2
96,0,1
97,0,1
98,0,2
99,0,1
100,0,2
101,0,1
102,0,2
103,0,2
104,0,1
105,0,2
106,0,2
107,0,2
108,0,2
109,0,1
110,0,1
111,0,2
112,0,1
113,0,2
114,0,2
115,0,2
116,0,2
117,0,1
118,0,2
119,0,2
120,0,2
121,0,2
122,0,0
123,0,2
124,0,2
125,0,2
126,0,2
127,0,1
128,0,1
129,0,1
130,0,1
131,0,2
132,0,2
133,0,2
134,0,1
135,0,0
136,0,2
137,0,2
138,0,1
139,0,2
140,0,2
141,0,2
142,0,2
143,0,2
144,0,2
145,0,1
146,0,1
147,0,2
148,0,0
149,0,1
150,0,1
151,0,2
152,0,2
153,0,1
154,0,1
155,0,1
156,0,2
157,0,2
158,0,2
159,0,2
160,0,1
161,0,1
162,0,2
163,0,2
164,0,2
165,0,1
166,0,2
167,0,2
168,1,1
169,0,2
170,0,2
171,0,2
172,0,2
173,0,2
174,0,1
175,1,1
176,0,2
177,0,2
178,0,2
179,0,1
180,0,2
181,0,2
182,0,2
183,0,2
184,0,2
185,0,2
186,0,1
187,0,2
188,0,2
189,0,1
190,0,1
191,0,1
192,0,1
193,0,2
194,0,1
195,0,2
196,0,2
197,0,2
198,0,2
199,0,2
200,0,2
201,0,2
202,0,0
203,0,1
204,0,2
205,0,1
206,0,2
207,0,1
208,0,2
209,0,1
210,0,2
211,0,1
212,0,1
213,0,2
214,0,2
215,0,2
216,0,2
217,0,2
218,0,1
219,0,2
220,0,2
221,0,1
222,0,2
223,0,1
224,0,2
225,0,1
226,0,2
227,0,1
228,0,2
229,0,1
230,0,2
231,0,2
232,0,1
233,1,1
234,0,2
235,0,2
236,0,2
237,0,2
238,0,2
239,0,2
240,0,2
241,0,2
242,0,2
243,0,2
244,0,2
245,0,1
246,0,1
247,0,2
248,0,2
249,0,2
250,0,1
