,1,0
0,3,0
1,3,0
2,3,0
3,3,0
4,2,1
5,3,0
6,3,0
7,3,1
8,3,1
9,3,0
10,3,0
11,3,0
12,3,1
13,3,0
14,3,0
15,3,0
16,3,0
17,3,0
18,3,0
19,3,0
20,3,1
21,3,0
22,3,0
23,3,1
24,3,0
25,3,0
26,3,0
27,3,0
28,3,0
29,3,1
30,3,0
31,3,1
32,3,1
33,3,0
34,3,1
35,2,0
36,3,0
37,3,1
38,3,0
39,3,1
40,3,0
41,3,0
42,3,0
43,3,0
44,3,0
45,3,0
46,3,0
47,3,0
48,3,0
49,3,1
50,3,1
51,3,0
52,3,1
53,2,0
54,3,1
55,3,1
56,3,0
57,3,0
58,3,1
59,3,1
60,3,0
61,3,0
62,3,0
63,3,0
64,3,1
65,2,0
66,3,0
67,3,0
68,3,0
69,3,0
70,3,1
71,3,1
72,3,1
73,3,0
74,3,1
75,3,0
76,3,0
77,5,1
78,2,0
79,3,0
80,3,0
81,3,0
82,3,0
83,3,0
84,3,0
85,3,0
86,3,0
87,3,1
88,3,0
89,3,0
90,3,0
91,3,1
92,3,0
93,3,0
94,3,0
95,3,0
96,0,0
97,3,0
98,3,0
99,3,0
100,3,1
101,3,1
102,0,1
103,3,0
104,3,0
105,3,0
106,3,0
107,3,0
108,3,0
109,3,1
110,3,1
111,3,1
112,3,0
113,3,0
114,4,1
115,3,0
116,3,0
117,3,0
118,3,0
119,3,0
120,0,0
121,3,0
122,3,1
123,3,1
124,3,0
125,3,1
126,4,1
127,3,1
128,3,1
129,3,0
130,3,0
131,3,1
132,3,0
133,3,1
134,3,0
135,3,0
136,3,1
137,3,0
138,3,0
139,3,1
140,3,0
141,3,0
142,3,0
143,3,0
144,3,0
145,3,0
146,3,1
147,3,1
148,3,1
149,3,1
150,3,1
151,3,0
152,3,0
153,2,1
154,3,0
155,3,0
156,3,1
157,3,1
158,3,0
159,3,0
160,3,1
161,3,0
162,3,1
163,3,0
164,3,0
165,3,1
166,3,0
167,3,0
168,2,0
169,3,1
170,0,1
171,3,0
172,3,1
173,3,1
174,3,1
175,3,1
176,3,0
177,3,1
178,3,0
179,3,0
180,3,1
181,3,1
182,3,0
183,3,0
184,3,1
185,3,1
186,3,1
187,3,1
188,3,0
189,3,0
190,5,1
191,3,0
192,3,0
193,2,0
194,3,0
195,3,0
196,3,0
197,3,0
198,3,0
199,2,1
200,3,0
201,3,0
202,3,1
203,3,0
204,3,0
205,3,0
206,3,0
207,3,0
208,3,0
209,3,1
210,3,0
211,3,0
212,3,1
213,3,0
214,3,0
215,3,1
216,3,1
217,3,0
218,3,0
219,3,0
220,3,0
221,3,1
222,3,0
223,4,0
224,3,0
225,3,0
226,3,0
227,3,0
228,3,0
229,3,0
230,3,0
231,3,0
232,3,1
233,3,1
234,3,0
235,3,1
236,3,0
237,3,0
238,3,0
239,3,0
240,3,1
241,3,0
242,3,1
243,3,1
244,2,0
245,0,0
246,3,0
247,3,1
248,3,1
249,3,1
250,3,1
251,3,0
252,3,0
253,2,0
254,3,0
255,3,1
256,4,0
257,3,0
258,3,0
259,3,1
260,3,0
261,3,0
262,3,1
263,3,0
264,3,0
265,3,0
266,3,1
267,3,0
268,3,0
269,3,0
270,3,1
271,3,0
272,2,0
273,3,0
274,3,1
275,3,0
276,3,0
277,3,1
278,3,0
279,3,1
280,3,1
281,3,0
282,2,0
283,3,1
284,3,0
285,3,1
286,3,0
287,3,0
288,3,0
289,3,0
290,3,1
291,3,1
292,3,1
293,3,1
294,3,1
295,2,0
296,3,0
297,3,0
298,3,0
299,3,0
300,3,0
301,3,0
302,3,0
303,3,0
304,3,1
305,3,1
306,3,1
307,3,0
308,3,1
309,3,0
310,3,1
311,3,0
312,3,0
313,3,0
314,3,0
315,3,1
316,3,0
317,3,1
318,3,1
319,3,0
320,3,1
321,3,1
322,3,0
323,3,1
324,3,1
325,3,0
326,3,0
327,3,0
328,3,0
329,3,0
330,3,0
331,3,0
332,3,1
333,3,0
334,3,1
335,3,0
336,3,1
337,3,0
338,2,1
339,3,1
340,3,0
341,3,0
342,3,0
343,3,0
344,3,1
345,3,0
346,3,1
347,2,1
348,3,1
349,4,1
350,3,0
351,3,0
352,3,0
353,3,1
354,3,1
355,3,1
356,3,1
357,3,0
358,3,0
359,0,1
360,3,1
361,3,0
362,3,1
363,3,0
364,3,0
365,3,0
366,3,0
367,3,0
368,3,1
369,3,0
370,3,0
371,3,0
372,3,0
373,3,1
374,3,0
375,3,1
376,3,0
377,3,0
378,3,0
379,3,0
380,3,0
381,3,0
382,3,1
383,3,0
384,3,1
385,2,0
386,3,1
387,3,0
388,3,1
389,3,0
390,3,1
391,3,0
392,3,0
393,3,0
394,2,0
395,3,0
396,3,0
397,3,0
398,3,0
399,3,0
400,3,0
401,3,0
402,3,0
403,3,1
404,3,0
405,3,0
406,3,0
407,3,0
408,3,0
409,3,0
410,3,0
411,3,1
412,3,0
413,3,0
414,3,1
415,3,0
416,3,0
417,3,1
418,3,0
419,3,0
420,3,0
421,3,0
422,3,1
423,3,0
424,3,0
425,3,0
426,5,0
427,3,1
428,3,0
429,3,1
430,3,0
431,3,0
432,3,1
433,3,0
434,3,1
435,3,1
436,3,0
437,3,0
438,3,0
439,3,0
440,2,0
441,3,0
442,3,1
443,3,1
444,3,0
445,3,1
446,3,0
447,3,1
448,3,1
449,3,0
450,3,0
451,3,0
452,3,1
453,3,0
454,3,0
455,3,1
456,3,0
457,3,0
458,3,0
459,3,1
460,3,1
461,3,0
462,3,0
463,3,0
464,3,0
465,3,0
466,3,0
467,3,0
468,3,0
469,3,0
470,3,0
471,3,1
472,3,0
473,3,0
474,2,0
475,3,1
476,3,0
477,3,1
478,3,1
479,3,1
480,3,0
481,3,0
482,3,1
483,3,1
484,3,0
485,3,1
486,3,1
487,3,0
488,3,1
489,3,1
490,3,0
491,3,0
492,3,0
493,3,0
494,3,0
495,3,0
496,3,0
497,3,0
498,3,0
499,3,0
500,3,0
501,3,0
502,3,1
503,3,0
504,3,0
505,3,0
506,3,0
507,3,1
508,3,1
509,3,0
510,3,0
511,3,0
512,3,0
513,3,0
514,3,0
515,3,1
516,3,1
517,3,0
518,2,1
519,3,0
520,3,1
521,3,0
522,3,1
523,3,0
524,3,0
525,3,0
526,2,1
527,3,1
528,3,0
529,3,0
530,3,1
531,3,0
532,3,0
533,3,0
534,3,1
535,3,1
536,3,0
537,3,0
538,3,0
539,2,0
540,3,0
541,3,0
542,3,1
543,3,0
544,3,0
545,3,0
546,3,0
547,3,0
548,3,0
549,3,0
550,3,1
551,3,0
