162,1,0,1,1,0,0,0,0
163,1,0,0,0,1,0,1,0
164,1,1,1,1,0,0,1,0
165,1,1,0,0,0,0,0,0
166,1,0,0,0,1,0,1,0
167,1,0,0,0,1,0,0,0
168,1,0,1,1,1,0,1,0
169,0,1,0,0,1,1,1,1
170,1,0,1,0,0,0,0,0
171,0,1,0,0,1,0,1,1
172,1,0,0,0,0,0,0,0
173,0,1,0,0,1,0,1,1
174,1,0,0,0,0,0,0,0
175,1,0,0,0,1,0,1,0
176,0,1,0,0,1,0,1,1
177,0,1,0,0,1,0,1,1
178,1,0,1,0,1,0,1,0
179,1,0,0,0,1,0,1,0
180,1,0,0,0,0,0,0,0
181,1,0,0,1,0,0,0,0
182,1,0,0,1,1,0,1,0
183,1,0,0,0,1,0,1,0
184,1,0,0,0,1,0,1,0
185,1,0,0,1,0,0,0,0
186,0,1,0,0,0,0,0,1
187,1,0,0,0,1,0,1,0
188,1,0,1,0,0,0,0,0
189,1,1,1,0,0,0,1,0
190,1,0,0,0,1,0,1,0
191,1,0,0,1,0,0,0,0
192,1,0,0,0,0,0,0,0
193,1,0,0,0,0,0,0,0
194,1,0,0,0,1,0,1,0
195,0,1,0,0,0,0,0,0
196,1,0,1,0,0,0,0,0
197,1,0,0,0,0,0,0,1
198,1,0,0,0,0,1,0,0
199,1,0,0,0,1,0,1,0
200,1,0,0,0,0,0,0,0
201,1,0,0,0,1,0,1,0
202,1,0,0,0,1,0,1,1
203,1,0,0,1,0,0,0,0
204,1,0,1,0,1,0,1,0
205,1,0,0,0,0,0,0,0
206,1,0,0,0,0,0,0,0
207,1,0,0,0,0,0,0,0
208,1,0,0,0,1,0,1,0
209,1,0,0,0,1,0,1,0
210,1,0,0,1,0,0,0,0
211,1,0,0,0,1,0,1,0
212,1,0,1,0,1,0,1,0
213,0,1,0,0,1,1,1,1
214,1,0,0,0,1,0,1,0
215,1,0,0,0,0,0,0,0
216,1,0,0,0,1,0,1,0
217,0,1,0,0,1,1,1,0
218,1,0,1,0,1,0,1,0
219,1,0,1,1,0,0,0,1
220,1,0,0,0,1,0,1,0
221,1,0,0,0,1,0,1,0
222,1,0,1,0,1,0,1,1
223,1,0,1,0,1,0,1,0
224,1,0,1,0,1,1,1,0
225,1,0,0,0,1,0,1,1
226,1,0,0,1,0,0,0,0
227,1,0,1,0,1,0,1,0
228,1,0,0,0,1,0,1,0
229,1,0,1,0,0,0,0,0
230,1,1,1,0,1,1,1,0
231,1,0,0,1,0,0,0,0
232,0,1,0,0,0,0,1,1
233,1,0,0,0,0,0,0,0
234,0,1,0,0,0,0,0,1
235,1,0,1,0,1,0,1,1
236,1,0,0,0,1,0,1,0
237,1,0,0,0,0,0,0,0
238,1,0,0,1,0,0,0,0
239,1,0,0,0,0,0,0,0
240,0,1,0,0,0,0,1,1
241,1,0,0,1,0,0,0,0
242,1,0,0,0,1,0,1,0
243,1,0,0,0,1,0,1,0
244,1,1,1,0,0,1,0,0
245,1,0,0,0,1,0,1,1
246,1,0,0,0,0,0,0,0
247,1,0,0,1,1,0,1,0
248,1,0,1,0,1,0,1,0
249,1,0,0,0,1,0,1,0
250,1,0,1,0,1,0,1,0
251,1,0,1,0,0,0,0,0
252,1,0,0,0,1,0,1,0
253,0,1,0,0,1,1,1,0
254,1,1,1,0,1,1,1,0
255,1,0,1,0,0,0,0,1
256,1,0,0,0,0,0,0,0
257,0,1,0,1,0,1,0,0
258,1,0,0,0,0,0,0,0
259,1,0,0,0,1,0,1,0
260,0,1,0,0,0,0,1,1
261,1,0,0,0,1,0,1,0
262,1,0,0,0,0,0,0,0
263,1,0,0,0,0,0,0,0
264,1,0,0,0,1,0,1,0
265,1,0,0,0,0,0,0,0
266,1,0,0,0,0,0,0,1
267,0,1,0,0,0,0,1,1
268,1,0,0,0,0,0,0,0
269,0,1,0,1,0,1,1,0
270,1,0,0,0,1,0,1,0
271,1,0,1,0,1,0,1,1
272,1,0,0,1,0,0,0,0
273,1,0,0,0,1,0,1,0
274,1,0,0,0,0,0,0,0
275,1,0,1,0,1,0,1,0
276,1,0,0,0,1,0,1,1
277,0,1,0,0,0,1,0,0
278,1,0,1,0,1,0,1,0
279,1,0,0,0,1,0,1,0
280,1,0,0,0,1,0,1,0
281,1,0,0,0,0,0,0,0
282,1,0,0,1,0,0,0,1
283,1,0,0,0,1,0,1,0
284,1,0,0,0,1,0,1,0
285,1,0,0,1,1,0,1,0
286,1,0,0,0,1,0,1,0
287,1,0,0,0,1,0,1,0
288,1,1,1,0,1,1,1,0
289,1,0,0,0,1,0,1,0
290,1,0,0,1,0,0,0,0
291,1,0,1,0,0,0,0,0
292,1,0,0,0,0,0,0,0
293,1,0,1,0,1,0,1,0
294,1,0,1,0,1,0,1,0
295,0,1,0,1,0,0,0,0
296,1,0,0,0,1,0,1,0
297,1,0,0,0,0,0,0,0
298,1,0,1,0,1,0,1,0
299,1,0,1,0,1,0,1,0
300,1,0,1,1,1,0,1,0
301,1,0,0,0,1,0,1,0
302,1,0,1,0,1,0,1,0
303,1,0,0,0,1,0,1,0
304,1,0,1,0,0,0,0,0
305,1,0,0,0,1,0,1,0
306,1,0,0,0,1,0,1,0
307,0,1,0,0,0,0,1,1
308,1,0,0,0,0,0,0,0
309,1,0,1,0,0,0,0,0
310,1,0,0,1,1,0,1,0
311,1,0,0,0,0,0,0,1
312,1,0,0,0,1,0,1,0
313,1,1,1,0,1,1,1,1
314,1,0,0,1,0,0,0,0
315,1,0,0,0,1,0,1,0
316,1,0,1,0,1,0,1,0
317,1,0,0,0,0,0,0,0
318,1,0,1,0,1,0,1,0
319,1,0,0,0,1,0,1,0
320,1,0,1,0,1,0,1,0
321,1,0,0,0,1,0,1,0
322,1,0,0,0,1,0,1,0
323,1,0,0,0,0,0,0,0
324,1,0,0,0,1,0,1,0
325,1,0,0,0,0,0,0,0
326,1,0,0,0,0,1,0,0
327,1,0,0,0,1,0,1,0
328,1,0,1,0,0,0,0,0
329,1,0,0,0,1,0,1,0
330,1,0,0,1,0,0,0,0
331,1,0,1,0,1,0,1,0
332,1,0,0,0,0,0,0,0
333,1,0,0,0,0,0,0,0
334,1,0,0,0,0,0,0,0
335,1,0,0,0,0,0,0,1
336,1,0,0,0,1,0,1,0
337,1,0,0,0,1,0,1,1
338,1,0,1,0,0,0,0,0
339,1,0,0,0,0,0,0,0
340,1,0,0,0,0,0,0,0
341,1,0,0,0,0,0,0,0
342,1,0,0,0,0,0,0,0
343,0,1,0,0,1,0,1,1
344,0,1,0,0,0,0,1,1
345,1,0,1,0,1,0,1,0
346,1,0,0,1,0,0,0,1
347,1,0,0,0,1,0,1,0
348,1,0,0,0,1,0,0,0
349,1,0,0,0,0,0,0,0
350,1,0,0,0,1,0,1,0
351,1,0,0,0,1,0,1,0
352,1,0,0,0,1,0,1,1
353,1,0,1,1,0,0,0,0
354,1,1,1,0,0,1,1,0
355,0,1,0,0,0,0,1,1
356,1,0,0,0,0,0,0,0
357,1,0,1,0,0,0,0,0
358,1,0,0,0,1,0,1,0
359,1,0,1,0,0,0,0,0
360,1,0,0,0,1,0,1,1
361,0,1,0,1,0,0,0,1
362,1,0,0,0,0,0,0,0
363,0,1,0,1,1,0,1,0
364,1,0,0,0,0,0,0,0
365,1,1,1,0,0,1,1,1
366,1,0,0,0,0,0,0,0
367,1,0,0,0,0,0,0,0
368,1,0,0,1,0,0,0,0
369,1,0,0,1,0,0,0,0
370,1,0,0,0,0,0,0,0
371,1,0,0,0,1,0,1,0
372,1,1,1,0,1,1,1,1
373,1,0,0,1,0,0,0,0
374,1,0,1,0,0,0,0,0
375,1,0,0,0,1,0,1,0
376,1,0,0,0,1,0,1,0
377,1,0,0,0,0,0,0,0
378,1,0,0,0,1,0,1,0
379,1,0,0,0,0,0,0,0
380,1,0,0,0,1,0,1,0
381,1,0,0,0,1,0,1,0
382,1,0,0,0,1,0,1,0
383,1,0,0,0,0,0,0,1
384,1,0,0,0,1,0,1,0
385,1,0,0,0,1,0,1,0
386,1,0,0,0,1,0,1,0
387,1,0,0,0,0,0,0,1
388,1,0,0,0,1,0,1,0
389,1,0,0,0,1,0,1,0
390,1,0,0,0,1,0,1,0
391,1,0,0,0,1,0,1,0
392,1,0,0,1,0,0,0,0
393,1,0,0,0,1,0,1,0
394,1,0,0,1,0,0,0,0
395,1,0,0,0,1,0,0,1
396,1,0,0,1,0,0,0,0
397,1,0,0,0,1,0,1,0
398,1,1,1,0,0,0,0,1
399,1,0,1,1,0,0,0,0
400,1,0,0,0,0,0,0,0
401,1,0,0,0,1,0,1,0
402,1,0,0,0,1,0,1,0
403,1,0,1,0,1,0,1,0
404,1,0,0,0,1,0,1,0
405,1,0,0,0,0,0,0,0
406,1,0,0,0,1,0,1,0
407,1,0,1,0,1,0,1,0
408,1,0,0,1,0,0,0,1
409,1,0,0,0,1,0,1,1
410,1,0,0,0,0,0,0,0
411,1,0,1,1,0,0,0,0
412,1,0,0,0,1,0,1,0
413,1,0,0,0,1,0,1,0
414,1,0,0,0,1,0,1,0
415,1,0,0,0,1,0,1,0
416,1,0,0,0,1,0,1,0
417,1,0,1,0,1,0,1,0
418,1,0,0,0,0,0,0,0
419,0,1,0,0,0,0,1,1
420,1,0,0,0,0,0,0,1
421,0,0,0,0,1,0,1,1
422,1,0,0,1,0,0,0,0
423,1,0,0,0,0,0,0,0
424,0,1,0,0,0,0,1,1
425,1,0,0,0,1,0,1,0
426,1,0,0,0,0,0,0,1
427,1,0,0,0,1,0,1,0
428,1,0,0,0,1,0,0,0
429,1,0,0,0,1,0,1,0
430,1,1,1,0,1,0,1,0
431,1,0,0,0,0,0,0,1
432,1,0,0,0,1,0,1,0
433,1,0,0,0,1,0,1,0
434,1,0,1,0,1,0,1,0
435,1,0,0,0,1,0,1,0
436,0,1,0,0,0,1,0,1
437,0,1,0,0,0,1,0,1
438,1,0,0,1,0,0,0,1
439,1,0,0,0,0,0,0,1
440,1,0,1,0,1,0,1,0
441,1,0,0,0,1,0,1,0
442,1,0,0,0,0,0,0,0
443,1,0,1,1,0,0,0,0
444,1,0,0,0,1,0,1,0
445,1,0,0,0,0,0,0,0
446,1,0,1,0,0,0,0,0
447,1,0,0,0,1,0,1,0
448,1,0,0,0,1,0,1,0
449,1,0,0,0,0,0,0,1
450,1,0,0,0,1,0,1,1
451,0,1,0,1,0,1,1,0
452,1,0,0,0,1,0,1,0
453,1,0,0,1,0,0,0,0
454,1,0,0,0,1,0,1,0
455,1,1,1,0,1,0,0,0
456,1,0,0,0,1,0,1,0
457,1,0,1,0,0,0,0,0
458,1,0,0,0,0,0,0,0
459,1,0,0,0,1,0,1,0
460,1,0,0,0,1,0,1,0
461,0,1,0,0,1,0,1,1
462,0,0,0,0,1,0,1,1
463,1,0,0,0,1,0,1,0
464,1,0,0,0,1,0,1,0
465,1,0,0,0,0,0,0,0
466,1,0,0,0,1,0,1,0
467,1,0,0,0,1,0,1,0
468,1,0,0,0,1,0,1,0
469,1,0,0,0,1,0,1,0
470,1,0,0,0,0,0,0,0
471,1,0,0,0,0,0,0,0
472,1,0,0,0,0,0,0,0
473,1,0,1,0,1,0,1,0
474,0,1,0,0,1,0,1,1
475,1,0,0,0,0,0,0,0
476,1,0,1,0,1,0,1,0
477,1,0,0,0,1,0,1,0
478,1,0,0,0,1,0,1,0
479,1,0,0,0,0,0,0,0
480,1,0,0,0,0,0,0,0
481,1,0,0,0,0,0,0,0
482,1,0,0,0,1,0,1,1
483,1,0,0,0,0,0,0,1
484,1,0,0,0,1,0,1,0
485,1,0,0,0,1,0,1,0
486,1,1,1,0,1,0,1,0
487,1,1,1,0,0,0,0,0
488,1,0,0,0,0,0,0,1
489,1,0,1,0,0,0,0,0
490,1,0,0,0,1,0,1,0
491,1,0,0,0,0,0,0,0
492,1,0,0,0,1,0,1,0
493,0,1,0,0,0,1,1,1
494,1,0,0,0,0,0,0,0
495,1,0,0,0,0,0,0,0
496,1,0,1,0,1,0,1,0
497,1,0,1,0,1,0,1,0
498,1,0,1,0,0,0,0,0
499,1,0,0,0,0,0,0,0
500,1,0,1,0,1,0,1,0
501,1,0,0,0,0,0,0,0
502,1,0,0,0,1,0,1,0
503,1,0,0,0,1,0,1,0
504,0,1,1,0,0,0,1,0
505,1,0,0,0,1,0,1,0
506,1,0,0,0,1,0,1,0
507,1,0,0,0,1,0,1,0
508,1,0,0,0,1,0,1,0
509,1,0,0,0,0,0,0,0
510,1,0,0,0,1,0,1,0
511,1,0,0,0,1,0,1,0
512,1,0,1,0,1,0,1,0
513,0,1,0,0,1,0,1,1
514,1,0,0,1,0,0,0,1
515,1,0,0,0,1,0,1,0
516,1,0,1,0,0,0,0,0
517,1,0,0,0,1,0,1,0
518,0,1,0,0,0,0,1,1
519,1,0,0,0,1,0,1,0
520,1,0,0,0,1,0,1,0
521,1,0,1,0,1,0,1,0
522,1,0,0,0,1,0,0,0
523,1,0,0,0,1,0,1,1
524,1,0,0,0,1,0,1,0
525,0,1,0,0,0,0,1,1
526,1,0,0,0,1,0,1,0
527,1,0,0,0,1,0,1,0
528,1,0,1,0,1,0,1,0
529,0,1,0,1,0,0,0,0
530,0,1,0,0,0,1,0,1
531,1,0,0,0,0,0,0,0
532,1,0,0,0,1,0,1,0
533,1,0,0,0,0,0,0,0
534,1,0,0,0,1,0,1,0
535,1,0,0,0,1,0,1,0
536,1,0,1,0,1,0,1,1
537,1,0,0,0,0,0,0,0
538,1,1,1,0,0,0,1,0
539,1,0,0,0,1,0,1,0
540,1,0,0,0,0,0,0,0
541,1,0,0,0,1,0,1,0
542,1,0,0,0,1,0,1,0
543,0,1,0,1,0,1,0,0
544,1,0,0,0,0,0,0,0
545,1,0,1,0,1,0,1,0
546,1,0,0,0,1,0,1,0
547,1,0,0,0,0,0,0,0
548,1,0,0,0,1,0,1,0
549,1,0,0,0,0,0,0,0
550,0,1,0,0,0,0,1,1
551,1,0,0,0,0,0,0,0
552,0,1,0,1,0,0,1,0
553,0,1,0,0,1,0,1,1
554,0,1,0,0,1,0,1,1
555,1,1,1,0,0,1,0,0
556,1,0,0,1,0,0,0,0
557,1,0,0,0,0,0,0,0
558,1,0,0,0,1,0,1,0
559,1,0,0,0,1,0,1,0
560,0,1,0,0,1,0,1,1
561,1,0,0,0,1,0,1,0
562,1,0,0,0,1,0,1,0
563,1,0,0,0,0,0,0,0
564,1,1,1,1,0,1,1,1
565,1,0,0,0,0,0,0,0
566,1,0,0,0,1,0,1,0
567,1,0,0,0,1,0,1,0
568,1,0,0,0,1,0,1,0
569,1,0,1,1,0,0,0,1
570,0,1,0,1,0,0,1,0
571,1,0,1,0,1,0,1,0
572,0,1,0,0,0,1,0,1
573,1,0,0,0,1,0,1,0
574,0,1,0,0,0,1,0,0
575,0,1,0,0,0,1,0,1
576,1,0,1,0,1,0,1,1
577,1,0,0,0,0,0,0,0
578,1,0,0,0,1,0,1,0
579,1,0,0,0,0,0,0,0
580,1,0,1,0,1,0,1,0
581,1,0,0,0,1,0,1,0
582,1,0,1,0,0,0,0,0
583,1,0,0,0,1,0,1,0
584,1,0,0,0,1,0,1,0
585,1,0,0,0,1,0,1,0
586,0,1,0,0,0,0,1,0
587,1,0,0,0,0,0,0,0
588,1,0,0,0,1,0,1,0
589,1,0,1,0,1,0,1,0
590,1,0,0,0,0,0,0,0
591,0,1,0,0,0,1,0,1
592,1,0,0,0,0,0,0,0
593,1,0,0,1,0,0,0,0
594,1,0,0,0,1,0,1,0
595,1,0,1,0,0,0,0,0
596,1,0,0,0,0,0,0,0
597,1,0,0,0,1,0,1,0
598,1,0,0,0,1,0,1,0
599,1,0,0,0,0,0,0,0
600,1,0,0,1,0,0,0,0
601,0,1,0,1,0,0,0,0
602,1,0,0,0,0,0,0,0
603,1,0,0,0,0,0,0,0
604,1,0,0,0,1,0,1,0
605,0,1,0,0,0,0,0,1
606,0,1,0,0,1,0,1,1
607,1,0,0,0,0,0,0,1
608,1,0,1,0,1,0,1,0
609,1,0,0,0,1,0,1,1
610,1,0,0,0,1,0,1,1
611,0,1,0,1,0,0,0,0
612,1,0,0,0,1,0,1,0
613,1,0,0,0,0,0,0,0
614,1,0,0,0,0,0,0,0
615,1,0,1,0,0,0,0,0
616,1,0,0,0,1,0,1,0
617,1,0,1,0,0,0,0,0
618,1,0,0,0,1,0,1,0
619,1,0,0,1,0,0,0,0
620,1,0,0,0,0,0,0,0
621,1,0,0,0,1,0,1,0
622,1,0,0,0,0,0,0,0
623,1,0,0,0,1,0,1,0
624,1,0,0,0,0,0,0,0
625,0,1,0,0,1,1,1,1
626,1,0,0,0,0,0,0,0
627,1,0,1,0,1,0,1,0
628,1,0,0,0,0,0,0,0
629,0,1,0,1,0,1,1,0
630,1,0,0,1,1,0,1,0
631,1,0,0,0,1,0,1,0
632,1,0,0,0,1,0,1,0
633,1,0,0,0,1,0,1,0
634,1,0,1,0,0,0,0,0
635,1,0,1,0,1,0,1,0
636,1,0,0,0,1,0,1,0
637,1,0,0,0,0,0,0,0
638,1,0,1,0,1,0,1,0
639,1,1,1,0,1,0,1,0
640,1,0,0,0,0,0,0,1
641,1,0,1,0,1,0,1,0
642,0,1,0,0,0,0,1,0
643,1,0,0,0,1,0,1,0
644,1,0,0,0,1,0,1,0
645,1,0,0,0,1,0,1,1
646,1,0,1,0,0,0,0,0
647,0,1,0,0,1,0,1,1
648,1,0,0,0,0,0,0,0
649,0,1,0,1,0,0,1,0
650,1,0,0,0,1,0,1,0
651,1,0,0,0,0,0,0,0
652,1,0,0,0,1,0,0,0
653,1,0,0,0,1,0,1,0
654,1,0,1,0,0,0,0,0
655,1,0,0,0,0,0,0,0
656,0,1,0,0,1,0,1,1
657,1,0,0,0,1,0,1,0
658,1,0,0,1,0,0,0,0
659,1,1,1,0,0,1,1,0
660,1,0,0,0,1,0,1,0
661,1,0,1,0,1,0,1,0
662,1,0,0,0,0,0,0,0
663,1,0,0,0,1,0,1,1
664,1,0,0,0,1,0,1,0
665,1,0,0,0,1,0,1,0
666,1,0,0,0,0,0,0,0
667,1,0,0,0,1,0,1,1
668,1,0,0,1,0,0,0,0
669,1,0,1,0,1,0,1,0
670,1,0,0,0,1,0,0,0
671,1,0,0,1,0,0,0,0
672,1,0,0,0,1,0,1,0
673,1,0,0,0,0,0,0,0
674,0,1,0,1,0,1,0,0
675,1,0,0,0,1,0,1,0
676,1,0,0,0,1,0,1,0
677,1,0,0,0,1,0,1,0
678,1,0,0,0,0,0,0,0
679,1,0,0,0,1,0,1,0
680,1,0,0,1,1,0,1,0
681,1,0,0,0,0,0,0,0
682,0,1,0,0,0,0,0,1
683,1,0,0,0,0,0,0,0
684,1,0,0,0,1,0,1,1
685,1,0,0,0,1,0,1,0
686,1,0,1,0,0,0,0,0
687,1,0,0,0,0,0,0,0
688,1,0,0,0,0,0,0,0
689,1,0,1,0,1,0,1,0
690,1,0,0,0,1,0,1,0
691,1,0,1,0,1,0,1,0
692,1,0,0,0,1,0,1,0
693,1,1,1,0,0,0,1,0
694,1,0,1,0,0,0,0,0
695,1,0,1,0,1,0,1,0
696,1,0,0,0,1,0,1,0
697,1,0,0,0,1,0,1,0
698,1,0,0,0,1,0,1,0
699,0,1,0,1,0,0,0,0
700,1,0,1,0,1,0,1,0
701,1,0,0,0,0,0,0,0
702,1,0,1,0,0,0,0,0
703,1,0,0,1,0,0,0,0
704,1,0,0,0,0,0,0,0
705,1,0,0,0,0,0,0,1
706,1,0,0,0,1,0,1,0
707,1,0,0,0,1,0,1,1
708,1,0,0,0,1,0,0,0
709,1,0,0,0,1,0,1,1
710,0,1,0,0,1,0,1,1
711,1,0,0,0,1,0,1,0
712,1,0,0,1,0,0,0,1
713,1,0,1,0,1,0,1,0
714,1,0,0,0,1,0,1,0
715,0,1,0,1,0,1,1,0
716,1,0,0,0,1,0,1,0
717,1,0,0,0,0,0,0,1
718,1,0,0,0,1,0,1,0
719,1,0,1,0,1,0,1,1
720,1,0,0,1,0,0,0,0
721,1,0,0,0,1,0,1,0
722,0,1,0,0,1,0,1,0
723,1,0,0,0,1,0,1,0
724,1,0,0,0,1,0,1,0
725,1,0,0,0,1,0,1,0
726,1,0,1,0,1,0,1,1
727,1,0,0,0,0,0,0,1
728,0,1,0,0,0,0,0,0
729,1,0,1,0,1,0,1,0
730,1,0,0,1,0,0,0,0
731,0,1,0,0,1,0,1,1
732,1,0,1,0,1,0,1,0
733,1,0,0,0,1,0,1,1
734,1,0,1,0,1,0,1,1
735,1,0,0,0,1,0,1,1
736,1,0,1,0,1,0,1,0
737,1,0,0,0,1,0,1,0
738,1,0,0,0,0,0,0,0
739,1,0,0,0,1,0,1,0
740,1,0,0,0,1,0,1,0
741,1,0,0,0,1,0,1,0
742,1,0,0,0,1,0,1,0
743,0,1,0,0,1,1,1,1
744,1,0,0,0,1,0,1,0
745,1,0,0,0,1,0,1,0
746,1,0,0,0,1,0,1,0
747,1,0,0,1,0,0,0,0
748,1,0,0,0,1,0,1,0
749,1,0,0,0,1,0,1,0
750,1,0,1,0,0,0,0,0
751,1,0,1,1,1,0,0,0
752,1,0,0,1,0,0,0,0
753,1,0,0,0,0,0,0,0
754,1,0,0,0,1,0,1,0
755,1,0,0,0,1,0,1,0
756,1,0,0,0,1,0,1,1
757,1,0,0,0,1,0,1,0
758,1,0,0,0,1,0,1,0
759,1,0,0,0,0,0,0,0
760,1,0,0,0,1,0,1,0
761,1,0,0,0,1,0,1,0
762,1,0,1,1,0,0,0,0
763,1,0,1,0,1,0,1,0
764,1,0,0,0,1,0,1,0
765,1,0,1,0,1,0,1,0
766,1,0,0,1,0,0,0,0
767,1,0,0,0,1,0,1,0
768,0,1,0,0,0,0,1,1
769,1,0,0,0,1,0,1,0
770,1,0,0,0,1,0,1,0
771,1,0,0,0,0,0,0,0
772,1,0,0,0,1,0,1,0
773,1,1,1,0,0,0,1,0
774,1,0,0,1,0,0,0,0
775,1,0,0,0,0,0,0,0
