,6,3,2,1,0
536,0,1,0,1,1
537,0,1,1,0,1
538,0,1,1,0,1
539,0,1,1,0,1
540,1,1,0,0,1
541,0,0,1,0,1
542,0,1,0,1,1
543,1,0,1,0,1
544,0,0,0,1,1
545,0,1,0,0,1
546,0,1,0,1,1
547,0,0,0,1,1
548,0,0,0,1,1
549,0,0,1,0,1
550,0,0,0,1,1
551,0,1,0,1,1
552,0,0,0,1,1
553,0,0,1,0,1
554,0,0,0,1,1
555,0,0,1,0,1
556,0,1,1,1,1
557,1,1,0,1,1
558,1,1,0,1,1
559,0,0,0,0,1
560,0,1,0,1,1
561,1,1,0,1,1
562,0,1,0,0,1
563,0,0,1,1,1
564,0,0,0,0,1
565,0,1,0,1,1
566,0,0,0,1,1
567,0,0,1,0,1
568,0,1,0,1,1
569,0,1,1,0,1
570,0,1,0,1,1
571,0,0,1,0,1
572,0,0,0,1,1
573,0,0,0,0,1
574,0,1,1,0,1
575,0,1,0,1,1
576,0,0,0,0,1
577,1,0,0,1,1
578,0,1,0,0,1
579,0,0,0,1,1
580,0,1,0,1,1
581,0,1,0,1,1
582,0,0,0,1,1
583,0,0,0,0,1
584,0,1,0,1,1
585,0,1,0,0,1
586,0,1,0,1,1
587,0,1,0,1,1
588,1,1,1,0,1
589,0,0,0,1,1
590,0,1,1,0,1
591,0,0,0,1,1
592,0,1,0,1,1
593,0,0,0,1,1
594,0,1,1,0,1
595,0,0,1,0,1
596,0,0,0,1,1
597,0,0,0,1,1
598,0,1,1,0,1
599,0,1,0,1,1
600,0,0,0,1,1
601,1,1,0,1,1
602,1,0,0,1,1
603,0,0,0,1,1
604,0,1,0,1,1
605,0,1,1,0,1
606,0,1,1,0,1
607,0,0,1,0,1
608,0,1,0,1,1
609,1,0,0,0,1
610,0,0,1,0,1
611,0,1,0,1,1
612,0,1,0,0,1
613,0,1,0,1,1
614,0,1,1,0,1
615,0,0,0,0,1
616,0,0,0,1,1
617,0,0,0,1,1
618,0,1,0,0,1
619,0,0,0,1,1
620,0,0,0,1,1
621,0,1,1,0,1
622,0,1,1,0,1
623,0,0,0,1,1
624,0,1,1,0,1
625,0,1,1,0,1
626,0,1,0,0,1
627,0,0,0,1,1
628,1,0,0,0,1
629,0,0,1,0,1
630,0,1,0,1,1
631,0,0,0,1,1
632,0,0,0,1,1
633,0,1,0,0,1
634,0,1,0,1,1
635,0,0,0,1,1
636,0,1,1,0,1
637,0,1,0,1,1
638,0,1,1,0,1
639,0,1,0,1,1
640,0,0,0,0,1
641,1,1,0,1,1
642,0,0,0,1,1
643,0,0,0,1,1
644,0,1,0,0,1
645,0,0,0,1,1
646,0,0,0,1,1
647,0,0,0,1,1
648,0,1,0,1,1
649,0,0,1,0,1
650,0,0,0,1,1
651,0,1,0,1,1
652,0,1,0,0,1
653,0,0,0,0,1
654,1,1,0,0,1
655,0,0,0,1,1
656,0,0,0,1,1
657,0,1,0,1,1
658,0,0,0,0,1
659,0,0,0,1,1
660,0,0,0,1,1
661,0,1,0,1,1
662,0,1,0,1,1
663,0,0,0,0,1
664,0,1,1,0,1
665,0,1,0,1,1
666,0,0,1,0,1
667,1,0,0,0,1
668,1,1,0,0,1
669,0,0,1,0,1
670,0,1,0,1,1
671,1,1,0,1,1
672,0,1,1,0,1
673,0,0,0,1,1
674,0,0,0,1,1
675,0,0,0,1,1
676,0,0,0,0,1
677,0,0,1,0,1
678,0,0,0,1,1
679,0,1,1,0,1
680,0,1,0,1,1
681,0,0,1,0,1
682,0,1,0,1,1
683,0,1,0,1,1
684,0,0,0,0,1
685,0,1,1,0,1
686,0,0,0,1,1
687,0,0,0,1,1
688,0,0,0,1,1
689,1,0,0,1,1
690,0,0,1,0,1
691,0,1,1,0,1
692,0,0,0,1,1
693,0,0,1,0,1
694,0,0,0,1,1
695,0,0,0,1,1
696,0,1,0,1,1
697,0,0,0,1,1
698,0,0,0,1,1
699,0,1,0,0,1
700,0,0,0,1,1
701,0,0,0,1,1
702,0,0,1,0,1
703,0,1,0,1,1
704,0,0,0,1,1
705,0,1,0,1,1
706,0,1,0,1,1
707,0,1,1,0,1
708,0,0,0,1,1
709,0,0,0,1,1
710,1,0,1,0,1
711,0,1,1,1,1
712,0,1,1,0,1
713,0,0,0,1,1
714,0,0,1,0,1
715,0,1,1,0,1
716,0,0,0,1,1
717,0,1,0,1,1
718,0,0,0,0,1
719,0,1,1,0,1
720,1,0,1,0,1
721,0,1,0,1,1
722,0,1,0,1,1
723,0,0,0,1,1
724,0,0,0,1,1
725,0,0,0,1,1
726,1,0,0,0,1
727,0,0,0,1,1
728,0,1,0,1,1
729,0,0,0,1,1
730,0,1,0,0,1
731,0,1,1,0,1
732,0,1,0,0,1
733,0,1,1,1,1
734,0,0,1,0,1
735,0,0,0,1,1
736,1,0,1,0,1
737,0,1,0,1,1
738,0,0,0,1,1
739,0,1,1,0,1
740,0,0,0,1,1
741,0,1,0,1,1
742,0,0,1,0,1
743,0,0,0,1,1
744,0,0,0,1,1
745,0,1,1,0,1
746,0,1,0,0,1
747,0,0,0,1,1
748,0,1,1,0,1
749,0,1,0,1,1
750,0,0,1,0,1
751,0,0,1,0,1
752,0,0,0,0,1
753,0,1,0,1,1
754,1,0,0,1,1
755,0,1,1,0,1
756,0,0,1,0,1
757,0,1,1,0,1
758,0,0,1,1,1
759,0,1,0,1,1
760,0,1,0,1,1
761,1,1,0,0,1
762,0,1,1,0,1
763,1,1,1,0,1
764,0,0,0,1,1
765,0,1,1,0,1
766,0,0,0,1,1
767,0,0,0,1,1
768,0,0,0,1,1
769,0,0,0,1,1
770,0,1,1,0,1
771,0,1,0,0,1
772,0,1,0,1,1
773,0,0,1,0,1
774,0,0,0,0,1
775,0,0,0,1,1
776,0,0,0,1,1
777,0,0,1,0,1
778,0,1,1,0,1
779,0,0,0,1,1
780,0,0,0,1,1
781,1,1,0,1,1
782,0,1,1,0,1
783,0,0,0,1,1
784,0,0,1,0,1
785,0,1,0,1,1
786,0,1,1,0,1
787,0,0,0,1,1
788,0,0,0,1,1
789,0,0,0,0,1
790,0,1,1,0,1
791,0,1,0,1,1
792,0,0,0,1,1
793,0,0,0,0,1
794,0,1,1,0,1
795,0,0,1,0,1
796,0,1,1,0,1
797,1,1,0,0,1
798,0,1,0,1,1
799,0,0,0,1,1
800,0,0,1,0,1
801,1,1,0,1,1
802,0,1,0,0,1
803,0,1,0,1,1
804,0,1,1,0,1
805,0,0,0,1,1
806,0,0,0,1,1
807,1,0,0,1,1
808,0,1,0,1,1
809,0,0,0,1,1
810,0,0,1,0,1
811,0,0,0,1,1
812,0,1,1,0,1
813,0,0,0,1,1
814,0,0,0,1,1
815,1,0,0,1,1
816,0,1,0,1,1
817,0,0,0,0,1
818,0,0,1,0,1
819,0,0,0,1,1
820,0,0,1,0,1
821,0,0,0,1,1
822,0,1,0,1,1
823,0,1,0,0,1
824,0,0,0,1,1
825,0,0,1,0,1
826,0,1,0,1,1
827,0,0,0,0,1
828,0,1,0,1,1
829,0,1,0,1,1
830,0,0,0,1,1
831,1,0,0,1,1
832,0,0,0,1,1
833,0,1,0,0,1
834,0,1,0,1,1
835,0,0,0,1,1
836,0,1,0,1,1
837,0,1,1,0,1
838,0,0,0,0,1
839,0,0,0,1,1
840,0,0,1,0,1
841,0,1,0,1,1
842,0,0,0,1,1
843,0,0,0,0,1
844,0,0,0,1,1
845,0,1,1,0,1
846,0,1,0,1,1
847,0,0,0,1,1
848,0,0,0,1,1
849,0,0,0,0,1
850,0,1,0,0,1
851,0,0,0,1,1
852,0,0,1,0,1
853,0,0,0,1,1
854,0,1,1,0,1
855,0,1,0,0,1
856,0,0,0,1,1
857,0,1,0,0,1
858,0,1,0,0,1
859,0,1,1,0,1
860,0,0,0,0,1
861,0,1,0,1,1
862,0,1,0,1,1
863,0,0,1,0,1
864,0,0,1,1,1
865,0,1,0,1,1
866,0,1,0,1,1
867,0,0,0,1,1
868,1,0,1,0,1
869,0,1,0,1,1
870,1,1,0,1,1
871,0,1,0,0,1
872,0,0,1,0,1
873,0,0,1,0,1
874,0,1,1,0,1
875,1,1,0,1,1
876,0,0,0,1,1
877,0,1,0,1,1
878,0,0,1,0,1
879,0,1,1,0,1
880,0,1,1,0,1
881,0,1,0,1,1
882,0,0,1,0,1
883,0,0,0,1,1
884,0,1,0,1,1
885,0,1,1,0,1
886,1,1,1,0,1
887,0,1,0,1,1
888,0,0,0,1,1
889,0,0,0,1,1
890,0,1,0,1,1
891,0,0,1,0,1
892,0,1,0,1,1
893,0,1,0,1,1
894,0,1,0,1,1
895,0,0,0,0,1
896,0,1,1,0,1
897,1,0,1,0,1
898,0,1,0,0,1
899,0,0,0,1,1
900,0,0,0,1,1
901,0,0,0,1,1
902,0,0,0,1,1
903,0,0,1,0,1
904,1,1,0,1,1
905,0,1,1,0,1
906,0,1,0,0,1
907,1,1,0,1,1
908,0,0,0,1,1
909,0,1,0,1,1
910,0,1,0,1,1
911,0,0,1,0,1
912,0,0,0,1,1
913,0,0,1,0,1
914,0,1,1,0,1
915,0,0,0,1,1
916,0,0,0,1,1
917,0,0,0,0,1
918,1,1,0,1,1
919,0,1,1,0,1
920,0,1,0,1,1
921,0,0,1,0,1
922,0,1,1,0,1
923,0,1,0,0,1
924,0,1,1,0,1
925,0,0,0,1,1
926,0,1,1,1,1
927,0,1,1,1,1
928,0,0,0,1,1
929,0,1,0,1,1
930,0,1,0,1,1
931,0,0,1,0,1
932,0,1,1,0,1
933,1,0,0,1,1
934,0,1,0,1,1
935,0,0,1,0,1
936,0,1,0,1,1
937,0,0,0,1,1
938,0,0,1,0,1
939,0,1,0,1,1
940,0,1,0,0,1
941,0,1,1,0,1
942,0,1,0,1,1
943,0,0,0,1,1
944,0,1,1,0,1
945,0,0,1,0,1
946,0,1,1,0,1
947,0,0,0,1,1
948,0,0,1,1,1
949,0,1,0,1,1
950,0,0,1,0,1
951,0,0,0,1,1
952,1,1,1,0,1
953,0,0,1,0,1
954,1,1,1,0,1
955,0,0,0,1,1
956,0,0,0,0,1
957,0,0,0,1,1
958,0,1,1,1,1
959,0,1,0,1,1
960,0,0,1,1,1
961,0,0,0,0,1
962,0,0,0,1,1
963,1,0,0,1,1
964,0,0,1,0,1
965,1,1,0,0,1
966,0,1,0,0,1
967,0,1,0,1,1
968,0,0,0,1,1
969,0,0,1,0,1
970,0,1,0,1,1
971,0,0,0,0,1
972,0,1,0,1,1
973,0,1,0,1,1
974,0,1,0,1,1
975,1,0,0,1,1
976,0,1,0,1,1
977,0,1,1,0,1
978,0,1,1,0,1
979,0,0,0,1,1
980,0,0,0,1,1
981,0,0,0,1,1
982,0,1,0,1,1
983,0,0,0,1,1
984,0,1,0,0,1
985,0,0,0,1,1
986,0,1,0,1,1
987,0,0,1,0,1
988,0,1,1,0,1
989,0,0,0,1,1
990,0,0,1,0,1
991,0,0,0,0,1
992,0,0,0,1,1
993,0,0,0,1,1
994,0,0,0,1,1
995,0,0,0,1,1
996,0,0,1,0,1
997,0,1,1,0,1
998,0,0,0,1,1
999,0,1,1,0,1
