374,0,0,0,1,0,0,0,0,0,0
375,0,1,1,0,0,0,0,0,0,0
376,0,1,1,0,0,0,0,0,1,0
377,0,0,0,1,0,0,0,0,0,0
378,0,1,1,0,0,0,0,0,0,0
379,0,0,0,1,0,1,1,0,1,0
380,0,1,1,0,0,0,0,0,0,0
381,1,0,0,1,1,0,0,1,0,1
382,0,1,0,1,0,0,0,0,0,0
383,0,1,1,0,0,0,0,1,0,0
384,0,1,1,0,0,0,0,0,1,0
385,0,1,1,0,0,0,0,0,0,0
386,0,1,0,1,0,0,0,0,0,0
387,0,1,1,0,0,0,0,0,0,0
388,1,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,1,0,0
390,0,0,0,0,0,0,0,1,0,1
391,0,1,1,0,0,1,1,0,0,0
392,0,1,1,0,0,0,0,0,0,0
393,0,1,1,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0
395,0,1,0,1,1,0,0,0,0,0
396,1,0,0,0,0,0,0,1,0,0
397,0,0,0,1,0,1,1,1,0,0
398,0,1,1,0,0,0,0,0,1,0
399,0,1,1,0,0,0,0,1,0,0
400,0,1,0,1,0,0,0,1,0,0
401,0,0,0,0,0,1,1,0,1,0
402,0,1,0,1,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,1,0
404,0,1,1,1,0,1,1,0,0,0
405,0,0,0,0,0,1,1,0,0,0
406,0,1,1,0,0,1,1,0,1,0
407,0,0,0,1,0,1,0,1,1,0
408,0,0,0,0,0,0,0,1,0,0
409,0,0,0,0,0,0,0,1,1,0
410,0,0,0,1,0,0,0,1,0,0
411,0,1,0,1,0,1,1,0,0,0
412,1,0,0,0,0,1,1,0,0,0
413,0,1,1,0,0,1,1,0,0,0
414,0,1,0,1,0,1,1,0,0,0
415,0,1,1,0,0,1,1,0,0,0
416,0,0,0,1,0,1,1,0,0,0
417,0,1,1,1,0,1,1,0,0,0
418,0,0,0,1,0,0,0,0,0,0
419,0,1,0,1,1,0,0,1,1,0
420,0,1,1,0,1,0,0,0,0,0
421,0,0,1,0,0,0,0,1,0,0
422,0,0,0,0,0,1,1,0,0,0
423,0,1,1,0,0,1,0,1,0,0
424,0,1,1,0,0,1,1,0,0,0
425,0,1,0,1,1,0,0,0,0,0
426,0,0,0,0,0,0,0,0,1,0
427,0,0,0,0,0,0,0,0,0,0
428,0,1,1,0,0,0,0,0,0,0
429,0,1,1,0,0,0,0,0,0,0
430,0,1,0,1,0,0,0,1,0,0
431,0,1,1,0,0,0,0,0,0,0
432,0,1,0,1,1,0,0,1,0,0
433,0,0,0,0,0,1,1,0,0,0
434,0,1,1,0,0,0,0,0,1,0
435,0,1,1,0,0,0,0,1,1,0
436,0,1,1,0,0,0,0,0,0,0
437,0,1,1,0,0,1,1,0,0,0
438,0,1,0,1,0,0,0,0,1,0
439,0,1,1,0,0,1,1,0,0,0
440,0,0,0,1,0,0,0,1,0,0
441,0,0,1,1,0,1,1,0,0,0
442,0,1,1,0,0,0,0,0,0,0
443,0,1,1,0,0,0,0,1,0,0
444,0,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,1,0,0
446,0,1,1,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0,0,0,0
448,0,1,1,0,0,0,0,1,0,0
449,0,1,1,0,0,0,0,1,0,0
450,0,1,1,0,0,0,0,0,0,0
451,0,1,1,0,0,0,0,1,0,0
452,0,1,0,1,0,0,0,1,0,0
453,0,1,1,0,0,0,0,0,0,0
454,0,1,1,0,0,0,0,0,1,0
455,0,1,1,0,0,1,1,0,1,1
456,0,0,0,0,0,1,0,1,0,0
457,0,1,1,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,0,1,0
459,0,1,1,0,0,0,0,0,1,0
460,1,0,0,0,0,1,1,0,0,0
461,0,0,0,0,0,1,1,0,1,0
462,0,1,0,1,1,0,0,0,0,0
463,0,0,0,0,0,1,1,0,0,0
464,0,1,1,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0,1,0,0
466,0,0,0,0,0,1,1,1,0,0
467,0,0,0,1,0,1,1,0,1,0
468,0,1,0,1,0,1,1,1,1,0
469,0,1,1,0,0,1,1,0,1,0
470,0,1,1,0,0,0,0,1,0,0
471,0,0,0,0,0,1,1,0,0,0
472,0,0,0,0,0,1,1,1,0,0
473,0,1,1,0,0,0,0,0,0,0
474,0,0,0,0,0,1,1,0,0,0
475,0,0,0,0,0,0,0,1,1,0
476,0,1,1,0,0,0,0,0,0,0
477,0,1,1,0,0,1,1,1,0,0
478,0,1,1,0,0,0,0,0,0,0
479,0,1,1,0,0,0,0,0,0,0
480,0,0,0,0,0,1,1,0,0,0
481,0,1,0,1,0,0,0,1,0,0
482,1,1,1,0,0,1,1,1,0,0
483,0,1,1,0,0,0,0,0,1,0
484,0,1,1,0,0,0,0,0,0,0
485,0,1,1,0,0,0,0,0,1,0
486,0,1,1,0,0,1,1,0,1,0
487,1,1,1,0,0,1,1,0,0,0
488,0,0,0,0,0,0,0,0,0,0
489,0,1,1,0,0,0,0,0,0,0
490,0,1,0,1,1,0,0,1,0,0
491,0,0,0,0,0,0,0,0,0,0
492,0,0,1,0,0,0,0,0,0,0
493,0,1,1,0,0,1,1,0,1,0
494,0,1,0,1,0,0,0,0,0,0
495,0,1,0,1,0,0,0,0,0,0
496,0,1,1,0,0,0,0,0,0,0
497,1,0,0,0,0,0,0,1,0,0
498,0,0,0,0,0,0,0,0,1,0
499,0,1,1,0,0,1,0,1,0,0
500,0,0,0,0,0,0,0,0,0,0
501,0,1,1,0,0,0,0,0,0,0
502,0,0,1,0,0,0,0,1,0,0
503,1,1,1,0,0,0,0,1,1,0
504,0,1,0,1,0,1,1,0,1,0
505,0,1,1,0,0,1,1,1,0,0
506,0,1,0,1,0,1,1,0,0,0
507,0,1,1,0,0,0,0,0,0,0
508,0,1,1,0,0,0,0,0,0,0
509,0,0,0,1,0,1,1,1,0,0
510,0,0,0,0,0,0,0,0,1,0
511,0,1,1,0,0,0,0,0,0,0
512,0,1,1,0,0,0,0,0,0,0
513,0,1,0,1,0,1,1,0,1,0
514,0,1,1,0,0,0,0,0,1,0
515,0,1,1,0,0,0,0,0,0,0
516,0,1,1,0,0,0,0,0,1,0
517,0,0,0,0,0,0,0,0,0,0
518,0,1,1,0,0,0,0,1,1,1
519,0,1,1,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0,0,0
521,0,1,1,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,0
523,0,0,0,1,0,0,0,0,0,0
524,0,1,1,0,0,0,0,1,1,1
525,0,0,0,1,0,0,0,0,0,0
526,0,0,0,0,0,1,1,1,0,0
527,0,0,1,0,0,0,0,0,0,0
528,0,0,0,0,0,1,1,1,1,0
529,0,1,1,0,0,1,1,0,0,0
530,0,0,0,0,0,1,1,0,0,0
531,0,0,0,1,0,0,0,0,0,0
532,0,1,0,1,0,0,0,0,0,0
533,0,1,1,0,0,0,0,0,0,0
534,0,1,1,0,0,0,0,1,0,0
535,0,1,1,0,0,0,0,0,0,0
536,0,1,1,0,0,0,0,1,0,0
537,1,0,0,0,0,1,1,1,0,0
538,0,1,0,1,0,0,0,1,0,0
539,0,0,1,0,0,0,0,0,0,0
540,0,1,1,0,0,0,0,1,1,1
541,0,1,1,0,0,0,0,0,0,0
542,0,1,1,0,0,1,1,1,1,0
543,0,1,0,1,1,0,0,1,0,0
544,0,0,0,0,0,1,1,0,0,0
545,0,1,0,1,0,0,0,1,0,0
546,0,1,1,0,0,0,0,0,1,0
547,0,0,0,1,0,0,0,0,0,0
548,0,0,0,0,0,1,1,1,0,0
549,0,0,0,0,0,0,0,0,1,1
550,0,0,0,0,0,0,0,0,0,0
551,0,1,1,0,0,0,0,1,0,0
552,0,0,0,0,0,0,0,1,0,0
553,0,1,1,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0
555,0,1,1,0,0,1,1,0,0,0
556,0,1,0,1,0,0,0,0,0,0
557,0,1,1,0,0,1,1,0,1,1
558,0,1,0,1,0,0,0,1,0,0
559,0,0,0,1,1,0,0,1,0,0
560,0,0,0,0,0,1,1,0,1,0
561,0,1,1,0,0,1,1,0,0,0
562,0,1,1,0,0,1,1,1,1,0
563,0,1,1,0,0,1,1,0,1,0
564,0,1,0,1,0,0,0,0,0,0
565,0,0,0,0,0,1,1,1,0,0
566,0,0,0,0,0,1,1,0,1,0
567,0,0,1,1,0,0,0,1,0,0
568,0,1,1,0,0,1,1,1,1,0
569,0,1,1,0,0,1,1,0,1,0
570,0,1,1,0,0,1,1,0,0,0
571,0,0,0,1,0,1,1,0,1,0
572,0,1,1,0,0,1,1,0,0,0
573,0,0,0,0,0,1,1,0,0,0
574,0,0,0,1,0,0,0,1,0,0
575,0,1,1,0,0,1,1,0,1,0
576,0,1,1,0,0,1,1,0,0,0
577,0,1,1,1,0,1,1,0,1,0
578,0,0,0,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0,0,0,0
580,0,1,0,1,0,1,1,0,0,0
581,0,0,0,0,0,0,0,0,0,0
582,0,0,0,1,0,0,0,0,0,0
583,0,1,0,1,0,0,0,0,0,0
584,0,0,0,0,0,0,0,1,0,0
585,0,1,1,0,0,0,0,0,0,0
586,0,1,1,0,0,0,0,0,0,0
587,0,0,1,0,0,0,0,0,0,0
588,0,1,0,1,0,1,1,0,0,0
589,0,1,1,0,0,0,0,1,0,0
590,0,1,1,0,0,0,0,1,0,0
591,1,0,1,0,1,0,0,0,0,0
592,0,0,0,0,0,0,0,1,0,0
593,0,0,0,0,0,1,1,1,1,0
594,0,1,1,0,0,0,0,0,0,0
595,0,1,1,0,0,0,0,1,0,0
596,0,0,0,0,0,0,0,0,0,0
597,0,1,1,0,0,0,0,0,0,0
598,0,1,1,0,0,0,0,0,0,0
599,0,1,1,0,0,1,1,0,0,0
600,0,1,1,0,0,1,1,0,0,1
601,0,0,0,0,0,1,1,1,0,0
602,0,1,1,0,0,1,1,0,0,0
603,0,0,0,0,0,0,0,1,0,0
604,0,0,0,0,0,0,0,1,0,0
605,0,0,0,0,0,1,1,1,0,0
606,1,1,1,0,0,1,1,1,0,0
607,0,1,1,0,0,1,1,0,0,0
608,0,1,1,0,0,1,1,0,0,0
609,0,1,1,0,0,0,0,0,0,0
610,0,0,0,1,0,0,0,0,0,0
611,0,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,1,1,1,0,0
613,0,1,0,1,0,0,0,0,0,0
614,0,1,0,1,0,0,0,1,0,0
615,0,1,1,0,0,0,0,1,0,0
616,0,1,1,0,0,0,0,0,1,0
617,0,0,0,0,0,1,1,0,0,0
618,0,1,0,1,0,0,0,0,1,0
619,0,0,0,0,0,1,1,0,1,0
620,0,1,1,0,0,0,0,0,0,0
621,0,1,1,0,0,0,0,1,1,0
622,0,1,1,0,0,0,0,0,1,0
623,0,1,1,0,0,1,1,0,0,0
624,0,1,1,0,0,0,0,0,1,0
625,0,1,1,0,0,1,1,1,0,0
626,0,1,1,0,0,0,0,0,1,0
627,0,1,1,0,0,0,0,0,0,0
628,0,1,1,0,0,0,0,1,0,0
629,0,1,0,1,1,0,0,0,0,0
630,0,1,1,0,0,0,0,1,0,0
631,0,0,0,0,0,1,1,0,0,0
632,0,0,1,0,0,1,1,0,0,0
633,0,1,1,0,0,0,0,0,0,0
634,0,0,0,0,0,1,1,0,0,0
