,4,2,1,0
488,1,1,1,1
489,0,1,1,1
490,1,1,1,1
491,1,1,1,1
492,1,1,1,1
493,0,1,1,1
494,0,0,1,1
495,1,1,1,1
496,1,1,1,1
497,0,1,1,1
498,1,1,1,1
499,0,1,1,1
500,0,1,1,1
501,1,1,1,1
502,0,1,1,1
503,1,1,1,1
504,1,1,1,1
505,1,0,0,1
506,0,1,1,1
507,0,1,1,1
508,0,1,1,1
509,0,1,1,1
510,1,1,1,1
511,0,1,1,1
512,1,1,1,1
513,1,1,1,1
514,0,1,1,1
515,1,1,1,1
516,0,1,1,1
517,1,1,0,1
518,0,1,1,1
519,1,1,1,1
520,0,1,1,1
521,1,1,1,1
522,1,1,1,1
523,0,1,1,1
524,1,1,1,1
525,0,1,1,1
526,1,1,1,1
527,1,0,1,1
528,0,1,1,1
529,1,1,1,1
530,1,1,1,1
531,0,0,1,1
532,0,1,1,1
533,0,1,1,1
534,1,1,1,1
535,0,1,1,1
536,0,1,1,1
537,0,1,1,1
538,0,1,1,1
539,1,1,1,1
540,0,1,1,1
541,1,1,1,1
542,1,1,1,1
543,1,1,1,1
544,0,1,1,1
545,0,0,1,1
546,1,1,1,1
547,0,1,1,1
548,1,1,1,1
549,1,1,1,1
550,1,1,1,1
551,0,1,1,1
552,1,1,1,1
553,1,1,1,1
554,1,1,1,1
555,0,1,1,1
556,0,1,1,1
557,0,1,1,1
558,1,1,1,1
559,1,1,1,1
560,0,1,1,1
561,1,1,1,1
562,0,1,1,1
563,1,1,1,1
564,1,1,1,1
565,1,1,1,1
566,0,1,1,1
567,1,1,1,1
568,0,1,1,1
569,1,1,1,1
570,0,1,0,1
571,1,1,1,1
572,1,0,0,1
573,1,1,1,1
574,0,1,1,1
575,1,1,1,1
576,1,1,1,1
577,1,1,1,1
578,0,1,1,1
579,0,1,1,1
580,1,1,1,1
581,0,1,1,1
582,0,1,1,1
583,0,1,1,1
584,0,1,1,1
585,0,1,1,1
586,0,1,1,1
587,1,1,1,1
588,1,1,1,1
589,1,1,1,1
590,1,1,1,1
591,1,1,1,1
592,1,1,1,1
593,1,1,1,1
594,1,1,0,1
595,1,1,1,1
596,0,1,1,1
597,1,1,1,1
598,1,1,1,1
599,0,1,1,1
600,0,1,1,1
601,1,0,1,1
602,1,1,1,1
603,0,1,1,1
604,0,1,1,1
605,1,1,1,1
606,0,1,1,1
607,1,1,1,1
608,1,1,1,1
609,1,1,1,1
610,1,1,1,1
611,1,1,1,1
612,1,1,1,1
613,0,1,1,1
614,1,1,1,1
615,1,1,1,1
616,1,1,1,1
617,1,1,1,1
618,1,1,1,1
619,1,1,1,1
620,1,1,1,1
621,1,1,1,1
622,1,1,1,1
623,0,1,0,1
624,1,1,1,1
625,1,1,1,1
626,1,1,1,1
627,0,1,1,1
628,1,1,1,1
629,1,0,0,1
630,1,1,1,1
631,0,1,1,1
632,1,1,1,1
633,0,1,1,1
634,0,1,1,1
635,1,1,1,1
636,1,1,0,1
637,0,1,1,1
638,1,0,1,1
639,1,1,1,1
640,0,1,1,1
641,0,1,1,1
642,0,1,1,1
643,1,1,1,1
644,0,1,1,1
645,1,1,1,1
646,0,1,1,1
647,1,1,1,1
648,0,1,1,1
649,1,1,1,1
650,1,0,0,1
651,1,1,1,1
652,1,1,1,1
653,1,1,1,1
654,1,1,1,1
655,1,1,1,1
656,1,1,1,1
657,1,1,1,1
658,1,1,1,1
659,1,1,1,1
660,1,1,1,1
661,1,1,1,1
662,1,1,1,1
663,1,1,1,1
664,1,1,1,1
665,1,1,0,1
666,1,1,1,1
667,1,1,1,1
668,1,1,1,1
669,0,1,1,1
670,0,1,1,1
671,1,1,1,1
672,1,1,1,1
673,1,1,1,1
674,0,1,1,1
675,1,1,1,1
676,1,1,1,1
677,0,1,1,1
678,1,1,1,1
679,0,1,1,1
680,1,1,1,1
681,0,1,1,1
682,1,1,1,1
683,0,1,1,1
684,1,1,1,1
685,1,1,1,1
686,1,1,1,1
687,1,1,1,1
688,0,1,1,1
689,0,1,1,1
690,1,1,1,1
691,1,1,1,1
692,1,1,1,1
693,1,1,1,1
694,1,1,1,1
695,1,1,1,1
696,1,1,1,1
697,1,1,1,1
698,1,1,1,1
699,1,1,1,1
700,1,0,1,1
701,1,1,1,1
702,1,1,1,1
703,1,1,1,1
704,1,1,1,1
705,1,1,1,1
706,0,1,1,1
707,1,1,1,1
708,1,1,1,1
709,0,1,1,1
710,1,1,1,1
711,0,1,1,1
712,1,1,1,1
713,1,1,1,1
714,0,1,1,1
715,1,1,1,1
716,0,1,1,1
717,1,1,1,1
718,0,0,1,1
719,0,1,1,1
720,0,1,1,1
721,1,1,1,1
722,1,1,1,1
723,1,1,1,1
724,1,1,1,1
725,0,1,1,1
726,0,1,1,1
727,1,1,1,1
728,0,1,1,1
729,1,1,1,1
730,1,1,1,1
731,1,1,1,1
732,0,1,1,1
733,1,1,1,1
734,1,1,1,1
735,1,1,1,1
736,1,1,1,1
737,1,1,1,1
738,1,1,1,1
739,0,1,0,1
740,1,1,1,1
741,1,1,1,1
742,0,1,1,1
743,1,1,1,1
744,0,1,1,1
745,0,1,1,1
746,1,1,1,1
747,0,1,1,1
748,1,1,1,1
749,1,1,1,1
750,0,1,1,1
751,1,1,1,1
752,1,0,0,1
753,1,1,1,1
754,0,1,1,1
755,1,1,1,1
756,0,1,1,1
757,1,1,1,1
758,1,1,1,1
759,1,1,1,1
760,1,1,1,1
761,1,1,1,1
762,1,1,1,1
763,1,1,1,1
764,1,1,1,1
765,1,1,1,1
766,0,1,1,1
767,1,1,1,1
768,1,1,0,1
769,1,1,1,1
770,1,1,1,1
771,0,1,1,1
772,1,1,0,1
773,1,1,1,1
774,1,1,1,1
775,1,1,1,1
776,1,1,1,1
777,0,1,1,1
778,1,1,1,1
779,1,1,1,1
780,0,1,1,1
781,1,1,1,1
782,1,1,1,1
783,0,1,1,1
784,1,1,1,1
785,0,0,0,1
786,1,1,1,1
787,1,1,0,1
788,1,1,1,1
789,0,1,1,1
790,0,1,1,1
791,0,1,1,1
792,1,1,1,1
793,0,1,1,1
794,1,1,1,1
795,0,1,1,1
796,1,1,0,1
797,1,1,1,1
798,1,1,1,1
799,1,1,0,1
800,1,0,0,1
801,0,1,1,1
802,1,1,1,1
803,0,1,1,1
804,0,1,1,1
805,1,1,1,1
806,1,1,1,1
807,1,1,1,1
808,1,1,1,1
809,1,1,1,1
810,1,1,1,1
811,1,1,1,1
812,0,1,1,1
813,1,1,1,1
814,1,1,1,1
815,1,1,1,1
816,1,1,1,1
817,1,1,1,1
818,0,1,1,1
819,0,1,1,1
820,1,1,1,1
821,1,1,1,1
822,0,1,1,1
823,1,1,1,1
824,1,1,1,1
825,1,0,1,1
826,0,1,1,1
827,0,1,1,1
828,1,1,1,1
829,1,1,1,1
830,1,1,1,1
831,0,1,1,1
832,0,1,1,1
833,0,1,1,1
834,1,0,1,1
835,1,0,0,1
836,1,1,1,1
837,1,1,1,1
838,0,1,1,1
839,1,1,1,1
840,0,1,1,1
841,0,1,1,1
842,1,1,1,1
843,1,1,1,1
844,1,1,1,1
845,1,1,1,1
846,1,1,1,1
847,0,1,1,1
848,1,1,1,1
849,0,1,1,1
850,1,1,1,1
851,0,1,1,1
852,1,1,1,1
853,1,1,1,1
854,0,1,1,1
855,1,1,0,1
856,1,1,1,1
857,0,1,1,1
858,1,1,1,1
859,1,1,1,1
860,1,1,1,1
861,0,1,1,1
862,1,1,1,1
863,1,1,1,1
864,1,1,1,1
865,1,1,1,1
866,1,1,1,1
867,0,1,1,1
868,1,1,1,1
869,1,1,1,1
870,1,1,1,1
871,0,1,1,1
872,1,1,1,1
873,0,1,1,1
874,1,1,1,1
875,1,1,1,1
876,0,1,1,1
877,1,0,1,1
878,1,1,1,1
879,0,1,1,1
880,0,1,1,1
881,1,1,1,1
882,1,1,1,1
883,1,1,1,1
884,1,1,1,1
885,1,1,1,1
886,0,1,1,1
887,1,1,1,1
888,1,1,1,1
889,0,1,1,1
890,1,1,1,1
891,1,1,1,1
892,1,1,1,1
893,0,1,1,1
894,0,1,1,1
895,0,1,0,1
896,1,1,1,1
897,0,1,1,1
898,0,1,1,1
899,0,1,0,1
900,1,1,1,1
901,1,0,0,1
902,1,1,1,1
903,1,1,1,1
904,0,1,1,1
905,0,1,1,1
906,0,1,1,1
907,1,1,1,1
908,1,1,1,1
909,0,1,1,1
910,1,1,1,1
911,0,1,1,1
912,0,1,1,1
913,0,1,1,1
914,1,0,1,1
915,1,1,1,1
916,0,1,0,1
917,1,1,1,1
918,0,0,0,1
919,1,1,0,1
920,1,1,1,1
921,1,1,1,1
922,1,1,1,1
923,1,1,1,1
924,1,1,1,1
925,1,1,1,1
926,1,1,0,1
927,0,1,1,1
928,0,1,1,1
929,0,1,1,1
930,0,1,1,1
931,1,1,1,1
932,1,1,1,1
933,1,1,1,1
934,0,1,1,1
935,0,1,1,1
936,1,1,1,1
937,1,1,1,1
938,1,1,0,1
939,1,1,1,1
940,1,1,1,1
941,1,1,1,1
942,0,1,1,1
943,1,1,1,1
944,1,1,1,1
945,0,1,1,1
946,1,1,0,1
947,0,1,1,1
948,1,1,1,1
949,1,1,1,1
950,1,1,1,1
951,0,1,1,1
952,1,1,1,1
953,1,1,1,1
954,1,1,1,1
955,1,1,1,1
956,0,1,1,1
957,1,1,1,1
958,0,1,1,1
959,1,1,1,1
960,1,1,1,1
961,1,1,1,1
962,0,1,1,1
963,1,1,1,1
964,1,1,1,1
965,1,1,1,1
966,0,1,1,1
967,1,0,1,1
968,1,1,1,1
969,1,1,1,1
970,1,1,1,1
971,0,1,1,1
972,1,1,1,1
973,1,1,1,1
974,0,1,1,1
975,1,1,1,1
976,1,1,1,1
977,0,1,1,1
978,0,1,1,1
979,1,1,1,1
980,1,1,1,1
981,1,1,1,1
982,0,1,1,1
983,1,1,1,1
984,1,1,1,1
985,1,1,1,1
986,1,1,1,1
987,1,1,1,1
988,1,1,1,1
989,0,1,1,1
990,1,1,1,1
991,1,1,1,1
992,1,1,1,1
993,1,1,0,1
994,1,1,1,1
995,0,1,1,1
996,0,1,1,1
997,0,1,1,1
998,1,1,1,1
999,1,1,1,1
