90,1,0,0,0,0,1,0,0,0,0
91,1,1,0,0,0,0,0,0,0,0
92,1,1,0,0,0,1,0,0,0,0
93,1,0,0,0,0,1,0,0,0,0
94,1,1,0,0,0,0,0,0,0,0
95,1,1,0,0,0,1,0,0,0,0
96,0,1,0,0,0,1,0,0,0,1
97,1,1,0,0,0,1,0,0,0,0
98,1,0,0,0,0,1,0,0,0,0
99,1,0,0,0,0,1,0,0,0,0
100,1,1,0,0,0,1,0,0,0,1
101,1,0,0,0,0,1,0,0,0,0
102,1,0,0,0,0,1,0,0,0,0
103,1,1,0,0,0,1,0,0,0,0
104,1,0,0,0,0,1,0,0,0,0
105,1,1,0,0,1,1,0,0,0,0
106,1,1,0,0,0,0,1,1,0,0
107,1,1,0,0,0,0,0,0,0,0
108,1,1,0,0,0,1,0,0,0,0
109,1,0,0,0,0,1,0,0,0,0
110,1,0,0,0,0,1,0,0,0,1
111,1,1,0,0,0,1,0,0,0,0
112,1,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,1,0,0,0,0
114,1,0,0,0,0,1,0,0,0,0
115,1,1,1,0,0,1,0,0,0,0
116,1,1,0,0,0,0,1,0,0,0
117,1,1,0,0,0,1,0,0,0,0
118,1,0,0,0,0,1,0,0,0,0
119,1,1,0,0,0,1,0,0,0,0
120,1,0,0,0,0,1,0,0,0,0
121,1,0,0,0,0,1,1,1,1,0
122,1,0,0,0,0,1,0,0,0,0
123,1,0,0,0,1,1,0,0,0,0
124,1,0,0,0,0,0,1,0,0,0
125,1,0,0,0,0,1,0,0,0,0
126,1,1,0,0,0,0,0,0,0,0
127,1,0,0,0,1,0,0,0,0,0
128,1,1,0,0,0,1,0,0,0,1
129,1,1,0,0,0,1,0,0,0,0
130,1,0,0,0,1,0,0,0,0,0
131,0,1,0,0,1,0,0,0,0,0
132,0,1,0,0,0,1,0,0,0,0
133,0,0,0,0,0,1,1,1,0,0
134,1,1,0,0,0,1,0,1,1,1
135,0,1,0,0,0,1,0,0,0,0
136,0,1,0,0,0,1,0,0,0,0
137,1,0,0,0,0,1,0,0,0,0
138,1,0,0,0,0,1,0,0,0,0
139,1,0,0,0,0,1,0,0,0,0
140,1,0,0,0,0,1,0,0,0,0
141,1,1,0,0,0,1,0,0,0,0
142,1,0,0,0,0,1,0,0,0,0
143,0,1,0,0,0,1,0,0,0,0
144,0,1,0,0,0,1,0,0,0,0
145,1,0,0,0,0,1,0,0,0,0
146,1,1,0,0,0,1,0,0,0,0
147,1,1,0,0,0,1,0,0,0,0
148,0,1,0,0,0,1,0,0,0,0
149,1,1,0,0,0,1,0,0,0,0
150,1,1,0,0,0,1,0,0,0,1
151,0,0,0,0,1,0,0,0,0,0
152,1,0,0,0,0,1,0,0,0,0
153,0,1,0,0,1,1,0,0,0,0
154,1,1,0,0,0,1,0,0,0,0
155,1,1,0,0,0,1,0,0,0,1
156,1,1,0,0,0,1,0,0,0,0
157,1,0,0,0,0,1,0,0,0,0
158,1,0,0,0,0,1,0,0,0,0
159,1,0,0,0,0,1,0,0,0,0
160,1,0,0,0,0,1,0,0,0,1
161,1,1,0,0,0,1,0,1,0,0
162,1,1,0,0,0,1,0,0,0,0
163,1,1,0,0,0,1,0,0,0,0
164,0,1,0,0,0,0,0,0,0,0
165,1,0,0,0,0,1,0,0,0,0
166,1,1,0,0,0,1,0,0,0,0
167,0,1,0,0,0,1,0,0,0,0
168,1,0,0,0,0,1,1,0,0,0
169,0,1,0,0,0,1,0,1,0,0
170,0,1,0,0,0,1,0,0,0,1
171,1,1,0,0,0,1,0,0,0,0
172,0,1,0,0,1,1,0,0,0,1
173,1,0,0,0,0,1,1,1,1,0
174,1,0,0,0,0,1,0,0,0,0
175,1,1,0,0,0,1,1,1,0,0
176,1,1,0,0,0,1,1,1,0,1
177,1,0,0,0,0,1,0,0,0,0
178,1,1,0,0,0,1,0,0,0,0
179,1,0,0,0,0,1,0,0,0,0
180,0,1,0,0,0,1,0,0,0,1
181,0,1,0,0,0,0,0,0,0,0
182,0,1,0,0,0,1,0,0,0,0
183,0,1,0,0,0,1,0,0,0,0
184,1,0,0,0,0,1,0,0,0,0
185,0,0,0,0,0,1,0,0,0,0
186,1,1,0,0,0,1,0,1,1,1
187,1,1,0,0,0,1,0,1,0,0
188,1,0,0,0,0,1,0,0,0,0
189,1,1,0,0,0,0,1,1,0,0
190,1,1,0,0,0,0,1,0,0,1
191,0,1,0,0,0,1,0,0,0,0
192,1,0,0,0,0,1,0,1,0,0
193,1,1,0,0,0,1,0,0,0,0
194,0,1,0,0,0,1,0,1,0,0
195,1,0,0,0,0,1,0,0,0,1
196,0,0,0,0,0,1,0,1,0,0
197,1,1,0,0,0,1,0,0,0,0
198,1,1,0,0,0,1,0,0,0,0
199,0,0,0,0,0,1,0,0,0,0
200,0,1,0,0,0,1,0,0,0,1
201,0,1,0,0,0,1,0,0,0,0
202,1,1,0,0,0,0,1,0,0,0
203,1,0,0,0,0,1,0,0,0,0
204,1,0,0,0,0,1,0,0,0,0
205,0,1,0,0,0,1,0,0,0,0
206,1,0,0,0,0,1,0,0,0,1
207,1,1,0,0,0,1,0,1,0,0
208,1,0,0,0,0,1,0,0,0,0
209,0,1,0,0,0,1,0,0,0,0
210,1,0,0,0,0,1,0,0,0,0
211,1,1,0,0,0,1,0,0,0,1
212,1,0,0,0,0,1,0,0,0,0
213,1,1,0,0,0,1,0,0,0,0
214,0,0,0,0,0,1,0,0,0,0
215,1,0,0,0,1,1,0,1,0,1
216,1,0,0,0,0,1,0,0,0,0
217,1,0,0,0,0,1,0,0,0,0
218,1,1,0,0,0,1,0,0,0,0
219,1,0,0,0,0,0,0,0,0,1
220,1,0,0,0,0,1,0,0,0,0
221,0,1,0,0,0,1,0,0,0,0
222,1,1,0,0,0,1,0,0,0,0
223,0,1,0,0,0,1,0,0,0,0
224,0,1,0,0,0,1,0,0,0,1
225,1,0,0,0,1,1,0,0,0,0
226,1,1,0,0,0,1,0,0,0,0
227,1,1,0,0,0,1,1,0,0,0
228,1,1,0,0,0,1,0,0,0,0
229,0,1,0,0,0,1,0,0,0,0
230,1,0,0,0,0,1,1,1,0,0
231,1,0,0,0,0,1,0,0,0,0
232,0,0,0,0,0,1,0,0,0,0
233,1,0,0,0,1,1,0,0,0,0
234,1,1,0,0,0,1,1,0,0,0
235,1,0,0,0,0,1,0,0,0,0
236,1,0,0,0,0,1,0,0,0,0
237,1,1,0,0,0,1,0,0,0,0
238,0,1,0,0,0,1,0,0,0,0
239,0,1,0,0,0,1,0,0,0,0
240,1,1,0,0,1,0,0,0,0,0
241,1,1,0,0,0,1,0,0,0,0
242,1,1,1,0,0,1,0,0,0,0
243,1,1,0,0,0,1,0,0,0,0
244,1,1,1,0,0,1,0,0,0,0
245,1,1,0,0,0,1,0,0,0,0
246,1,0,0,0,0,1,0,0,0,0
247,1,1,0,0,0,1,0,0,0,0
248,0,1,1,0,0,1,0,0,0,0
249,1,1,0,0,0,0,0,0,0,1
250,1,1,0,0,0,1,1,0,0,0
251,1,0,0,0,0,1,0,0,0,0
252,1,0,0,0,0,1,0,0,0,0
253,0,1,0,0,0,1,0,0,0,0
254,1,1,0,0,0,1,0,0,0,0
255,1,0,0,0,1,0,0,0,0,1
256,1,0,0,0,0,0,0,0,0,0
257,1,0,0,0,0,1,0,0,0,0
258,1,0,0,0,0,1,0,0,0,0
259,1,0,0,0,0,1,0,0,0,0
260,1,0,0,0,0,1,0,0,0,0
261,1,1,0,0,0,0,0,0,0,0
262,1,1,0,0,0,1,1,1,0,0
263,1,1,0,0,0,1,0,0,0,0
264,0,1,0,0,0,0,0,0,0,0
265,1,0,0,0,0,1,0,0,0,0
266,1,1,1,0,0,1,0,0,0,1
267,1,1,0,0,0,1,0,0,0,0
268,1,1,1,0,0,1,0,0,0,0
269,1,0,0,0,0,1,0,0,0,0
270,1,1,0,0,0,1,0,0,0,0
271,1,1,0,0,0,1,0,0,0,0
272,1,1,0,0,0,1,0,0,0,0
273,1,0,0,0,0,0,0,0,0,0
274,1,0,0,0,0,0,0,0,0,0
275,0,1,0,0,0,1,0,0,0,0
276,1,0,0,0,0,1,0,1,1,0
277,1,0,0,0,0,1,0,0,0,0
278,1,0,0,0,0,1,0,0,0,0
279,1,0,0,0,0,1,0,1,0,1
280,0,1,0,0,0,1,0,0,0,0
281,1,1,0,0,0,1,0,0,0,0
282,1,1,0,0,0,1,0,0,0,0
283,1,0,0,0,0,1,0,0,0,0
284,0,1,0,0,0,1,0,0,0,0
285,1,0,0,0,0,1,1,1,0,0
286,1,0,0,0,0,1,0,0,0,0
287,1,0,0,0,0,1,0,0,0,0
288,1,1,0,0,0,1,0,0,0,0
289,1,0,0,0,1,1,0,0,0,0
290,1,0,0,0,0,0,0,0,0,0
291,0,1,0,0,0,1,0,0,0,0
292,1,1,0,0,0,1,1,1,1,1
293,1,0,0,0,0,1,0,0,0,1
294,1,1,0,0,1,1,1,0,1,0
295,1,0,0,0,0,1,0,0,0,0
296,1,0,0,0,1,0,0,0,0,1
297,1,0,0,0,0,0,0,0,0,0
298,1,0,0,0,0,0,0,0,0,1
299,1,0,0,0,1,1,0,0,0,0
300,1,1,1,0,0,1,0,0,0,0
301,1,1,0,0,1,1,1,1,1,1
302,1,1,0,0,0,1,0,0,0,0
303,1,0,0,0,0,0,0,0,0,0
304,1,0,0,0,0,1,0,0,0,1
305,0,1,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0
307,1,1,0,0,0,1,0,0,0,1
308,1,1,1,1,0,1,0,0,0,1
309,1,0,0,0,0,1,1,0,0,1
310,1,0,0,0,0,1,0,1,0,0
311,1,0,0,0,0,1,1,1,0,0
312,1,0,0,0,1,0,0,0,0,0
313,1,1,0,0,0,1,0,0,0,0
314,1,0,0,0,0,1,0,0,0,0
315,1,0,0,0,0,1,0,0,0,0
316,1,1,1,1,0,1,0,0,0,0
317,1,0,0,0,0,1,0,0,0,0
318,0,1,0,0,0,1,0,0,0,0
319,1,0,0,0,0,1,0,0,0,0
320,1,0,0,0,0,1,0,1,1,0
321,1,0,0,0,0,1,0,0,0,0
322,1,0,0,0,0,0,0,0,0,0
323,0,1,0,0,0,1,0,0,0,0
324,1,1,0,0,0,1,0,0,0,1
325,1,1,0,0,0,1,0,0,0,0
326,1,1,0,0,0,0,0,0,0,0
327,1,1,0,0,0,0,0,0,0,0
328,1,0,0,0,0,0,0,0,0,0
329,1,0,0,0,0,1,0,0,0,0
330,1,1,0,0,0,1,0,0,0,0
331,1,1,0,0,0,1,0,0,0,0
332,1,1,0,0,0,1,0,1,0,0
333,1,0,0,0,1,1,0,0,0,0
334,1,1,0,0,0,1,0,0,0,0
335,1,0,0,0,0,1,0,0,0,0
336,1,0,0,0,0,1,0,0,0,0
337,1,0,0,0,0,0,0,0,0,0
338,1,1,1,0,0,0,0,0,0,1
339,1,1,0,0,0,1,1,1,0,1
340,0,0,0,0,0,1,1,1,0,0
341,1,0,0,0,0,0,0,0,0,0
342,1,1,0,0,0,1,0,1,1,0
343,1,1,0,0,0,1,0,0,0,0
344,1,0,0,0,0,0,0,0,0,0
345,1,0,0,0,0,1,0,0,0,0
346,1,1,0,0,0,1,1,1,0,0
347,1,0,0,0,0,1,0,0,0,0
348,0,1,0,0,0,1,0,0,0,0
349,0,1,0,0,0,1,0,0,0,0
350,1,0,0,0,0,1,0,0,0,0
351,1,0,0,0,0,0,1,1,0,0
352,0,1,0,0,0,1,1,0,0,0
353,0,1,0,0,0,1,0,0,0,0
354,1,1,0,0,0,0,0,0,0,0
355,0,1,0,0,0,1,0,0,0,0
356,0,1,0,0,0,1,0,0,0,0
357,1,0,0,0,0,1,0,0,0,0
358,0,0,0,0,0,1,0,0,0,1
359,1,1,0,0,0,1,0,0,0,0
360,1,0,0,0,0,1,0,0,0,0
361,1,1,0,0,0,1,0,0,0,0
362,1,1,0,0,0,1,0,0,0,0
363,0,0,0,0,0,1,0,0,0,0
364,1,0,0,0,0,0,0,0,0,0
365,1,0,0,0,0,1,0,0,0,0
366,1,0,0,0,0,1,1,1,0,0
367,1,1,0,0,0,1,0,0,0,0
368,1,0,0,0,0,1,0,0,0,0
369,1,0,0,0,0,1,0,1,0,0
370,0,1,1,0,0,1,0,0,0,1
371,0,1,0,0,0,0,0,0,0,0
372,1,0,0,0,1,1,0,0,0,0
373,1,1,0,0,0,1,0,0,0,0
374,0,1,0,0,0,1,1,0,0,0
375,0,1,0,0,0,1,0,0,0,0
376,0,1,0,0,0,1,0,0,0,0
377,0,1,0,0,0,0,0,0,0,0
378,1,0,0,0,0,1,0,0,0,0
379,1,0,0,0,0,1,0,0,0,0
380,0,1,0,0,0,1,0,0,0,0
381,1,1,0,0,0,0,0,0,0,0
382,0,1,0,0,0,1,0,0,0,0
383,0,0,0,0,0,1,0,0,0,0
384,1,1,0,0,0,1,0,0,0,0
385,1,1,0,0,0,1,0,0,0,0
386,1,1,0,0,0,1,0,0,0,0
387,1,0,0,0,0,0,0,0,0,1
388,1,0,0,0,0,1,0,0,0,0
389,0,1,0,0,0,1,0,0,0,0
390,1,0,0,0,0,1,0,0,0,0
391,1,1,0,0,0,0,0,0,0,0
392,1,1,0,0,0,1,0,0,0,0
393,1,1,0,0,0,1,0,0,0,0
394,1,1,0,0,0,0,0,0,0,0
395,1,1,0,0,0,1,0,1,1,1
396,1,0,0,0,0,1,0,0,0,0
397,1,1,0,0,0,0,0,0,0,1
398,0,1,0,0,0,0,0,0,0,1
399,0,1,0,0,0,1,0,0,0,0
400,0,0,0,0,0,1,0,0,0,0
401,1,1,0,0,1,1,0,0,0,0
402,0,0,0,0,0,1,0,0,0,0
403,1,1,0,0,0,1,0,0,0,0
404,1,1,0,0,1,1,0,0,0,0
405,1,0,0,0,0,1,0,1,1,1
406,1,1,0,0,0,1,0,0,0,0
407,1,1,0,0,0,1,0,0,0,0
408,1,1,0,0,0,1,0,0,0,0
409,0,1,0,0,0,1,0,0,0,0
410,0,1,1,0,0,1,0,0,0,1
411,0,1,0,0,0,1,0,0,0,0
412,1,0,0,0,0,1,0,0,0,0
413,0,1,0,0,0,1,0,1,1,0
414,1,1,0,0,0,1,0,1,0,0
415,1,0,0,0,0,1,0,0,0,0
416,1,0,0,0,1,0,0,0,0,0
417,1,1,0,0,0,1,0,0,0,0
418,1,1,0,0,0,1,0,0,0,0
419,0,1,0,0,0,1,0,0,0,0
420,1,0,0,0,0,1,0,0,0,0
421,1,1,0,0,0,0,1,1,0,0
422,1,0,0,0,0,1,0,1,1,1
423,0,0,0,0,0,1,0,0,0,0
424,1,1,0,0,0,1,0,0,0,1
425,1,0,0,0,0,1,0,0,0,0
426,1,0,0,0,0,1,1,1,0,1
427,1,0,0,0,0,1,0,0,0,0
428,1,1,0,0,0,1,0,0,0,0
429,1,1,0,0,0,1,1,0,0,0
430,0,1,0,0,0,1,0,1,0,0
431,1,1,1,0,0,1,0,0,0,0
432,1,1,0,0,0,1,0,0,0,0
433,0,1,0,0,0,1,0,0,0,0
434,1,0,0,0,0,0,0,0,0,0
435,1,0,0,0,0,1,0,1,0,0
436,0,1,0,0,0,1,0,0,0,1
437,1,0,0,0,0,1,0,0,0,0
438,1,0,0,0,0,1,0,0,0,0
439,1,0,0,0,0,1,0,0,0,0
440,1,1,0,0,0,1,0,0,0,0
441,1,1,0,0,0,1,0,0,0,0
442,0,1,0,0,0,1,0,0,1,0
443,1,0,0,0,0,1,0,0,0,0
444,0,1,0,0,0,1,0,0,0,0
445,1,0,0,0,0,1,0,0,0,0
446,1,0,0,0,1,1,0,0,0,0
447,1,0,0,0,0,1,0,0,0,0
448,0,1,0,0,0,1,0,0,0,0
449,1,0,0,0,0,0,0,0,0,0
450,1,1,0,0,0,1,0,0,0,0
451,1,1,0,0,1,0,0,0,0,0
452,1,0,0,0,0,0,0,0,0,1
453,0,1,0,0,0,1,0,0,0,0
454,1,0,0,0,0,1,0,0,0,0
455,1,1,0,0,1,0,0,0,0,1
456,1,0,0,0,0,1,0,0,0,0
457,0,1,0,0,0,1,0,0,0,1
458,0,0,0,0,0,1,1,0,0,0
459,1,1,0,0,0,1,0,0,0,0
460,1,0,0,0,0,0,0,0,0,0
461,1,1,0,0,0,1,1,0,0,1
462,1,0,0,0,0,1,0,0,0,1
463,1,1,0,0,0,0,0,0,0,0
464,1,0,0,0,0,1,0,0,0,0
465,1,1,0,0,0,0,0,0,0,0
466,1,0,0,0,0,1,0,0,0,0
467,1,1,0,0,0,1,0,0,0,0
468,1,0,0,0,0,1,1,1,0,0
469,1,1,0,0,0,0,1,0,0,0
470,1,0,0,0,0,1,0,0,0,0
471,1,1,0,0,0,1,0,0,0,0
472,1,1,0,0,0,1,1,1,0,1
473,1,1,0,0,0,0,0,0,0,0
474,1,0,0,0,0,0,0,0,0,0
475,1,1,0,0,0,1,0,0,0,0
476,0,1,0,0,0,0,0,0,0,0
477,1,1,0,0,0,0,1,1,0,0
478,1,0,0,0,0,1,0,0,0,0
479,1,0,0,0,0,1,0,0,0,0
480,1,1,0,0,1,1,0,0,0,0
481,1,0,0,0,0,1,0,0,0,0
482,0,1,0,0,0,1,0,0,0,0
483,1,0,0,0,0,0,0,0,0,0
484,1,0,0,0,0,1,0,0,0,0
485,1,0,0,0,0,1,0,0,0,0
486,1,1,0,0,1,1,1,0,0,0
487,1,0,0,0,0,0,0,0,0,0
488,1,0,0,0,0,1,0,0,0,0
489,1,1,0,0,0,0,0,0,0,0
490,1,1,0,0,0,0,0,0,0,0
491,0,1,0,0,0,1,0,0,0,0
492,1,1,0,0,0,1,0,0,0,0
493,1,1,0,0,0,0,0,0,0,0
494,1,0,0,0,0,1,0,0,0,1
495,1,1,0,0,0,1,0,0,0,0
496,1,0,0,0,0,1,0,0,0,1
497,0,0,0,0,0,1,0,0,0,0
498,1,0,0,0,0,1,0,0,0,0
499,0,1,0,0,0,1,0,0,0,0
500,1,0,0,0,0,1,0,0,0,0
501,1,0,0,0,0,1,0,0,0,0
502,0,1,0,0,0,1,0,0,0,0
503,1,0,0,0,0,1,0,0,0,0
504,1,1,0,0,0,1,0,0,0,1
505,0,1,0,0,0,1,0,0,0,0
506,1,0,0,0,0,1,0,0,0,0
507,1,1,0,0,0,1,0,0,0,0
508,0,1,0,0,0,0,0,0,0,0
509,1,1,0,0,0,1,0,0,0,0
510,1,1,0,0,0,1,0,0,0,0
511,1,0,0,0,0,1,0,0,0,0
512,1,0,0,0,0,1,0,0,0,0
513,1,1,0,0,1,1,0,0,0,0
514,1,0,0,0,0,1,0,0,0,0
515,1,1,0,0,0,1,0,0,0,1
516,1,1,0,0,0,1,0,0,0,0
517,0,1,0,0,0,0,0,0,0,0
518,1,0,0,0,0,1,0,0,0,0
519,1,1,0,0,0,1,0,0,0,0
520,1,1,0,0,1,1,0,1,1,0
521,1,1,0,0,0,1,0,0,0,0
522,1,0,0,0,0,1,0,0,0,0
523,1,0,0,0,0,0,0,0,0,0
524,0,1,0,0,1,1,0,0,0,0
525,1,1,0,0,1,1,0,0,0,0
526,1,0,0,0,0,1,0,0,0,0
527,1,0,0,0,0,1,0,0,0,0
528,1,0,0,0,0,1,0,0,0,0
529,1,0,0,0,0,1,0,0,0,0
530,1,1,0,0,0,1,0,0,0,0
531,1,0,0,0,0,0,0,1,0,0
532,1,1,0,0,0,1,0,0,0,0
533,1,1,0,0,0,1,0,0,0,0
534,1,0,0,0,0,1,0,0,0,1
535,1,0,0,0,0,1,0,0,0,0
536,1,0,0,0,0,1,0,0,0,0
537,1,1,0,0,0,0,0,0,0,1
538,1,0,0,0,1,0,0,0,0,0
539,1,1,0,0,0,1,0,0,0,1
540,0,0,0,0,0,0,0,0,0,0
541,1,1,0,0,0,1,1,1,0,0
542,1,1,0,0,0,1,0,0,0,0
543,0,1,0,0,0,1,0,0,0,0
544,1,1,0,0,0,1,0,0,0,0
545,1,1,0,0,0,1,0,0,0,0
546,1,0,0,0,0,1,1,0,0,0
547,1,0,0,0,0,1,0,0,0,0
548,1,0,0,0,0,1,0,0,0,0
549,1,1,0,0,0,1,0,0,0,0
550,1,0,0,0,1,1,0,0,0,0
551,1,1,0,0,0,1,0,0,0,0
552,1,0,0,0,0,1,0,0,0,0
553,1,1,0,0,0,1,0,0,0,0
554,0,1,0,0,0,1,0,0,0,0
555,1,1,0,0,0,1,0,0,0,0
556,1,0,0,0,0,1,0,1,0,0
557,1,1,0,0,0,1,0,0,0,0
558,1,0,0,0,1,1,0,0,0,0
559,1,0,0,0,0,0,0,0,0,0
560,1,1,0,0,0,0,0,0,0,0
561,0,1,0,0,0,0,0,0,0,0
562,1,1,0,0,0,0,1,1,1,1
563,1,0,0,0,0,0,0,0,0,0
564,1,0,0,0,0,0,0,0,0,0
565,1,0,0,0,1,0,0,0,0,0
566,1,1,0,0,0,1,0,0,0,0
567,1,0,0,0,0,1,0,0,0,0
568,1,1,0,0,0,1,0,0,0,0
569,1,1,0,0,0,0,0,0,0,0
570,1,0,0,0,0,1,1,1,0,0
571,1,0,0,0,0,1,0,0,0,0
572,1,1,0,0,0,1,0,0,0,0
573,1,0,0,0,0,1,0,0,0,0
574,1,0,0,0,0,1,0,0,0,0
575,1,0,0,0,0,1,0,0,0,0
576,0,0,0,0,0,1,0,0,0,1
577,0,1,0,0,0,1,0,0,0,0
578,1,0,0,0,0,0,0,0,0,0
579,1,1,0,0,0,1,0,0,0,0
580,1,0,0,0,1,0,0,0,0,0
581,1,1,0,0,0,1,1,1,0,1
582,1,0,0,0,0,1,1,0,0,0
583,1,1,0,0,0,1,0,0,0,0
584,0,1,0,0,0,1,0,0,0,0
585,1,1,0,0,0,1,0,0,0,0
586,0,0,0,0,0,1,0,0,0,0
587,1,1,0,0,0,1,0,1,0,0
588,1,1,0,0,0,1,0,0,0,0
589,1,1,0,0,0,1,0,0,0,0
590,0,0,0,0,0,1,0,0,0,1
591,1,0,0,0,0,0,0,0,0,0
592,1,0,0,0,0,1,0,1,0,0
593,1,1,0,0,0,1,0,0,0,0
594,0,1,0,0,0,0,0,0,0,0
595,1,0,0,0,0,1,0,0,0,0
596,1,0,0,0,0,1,0,0,0,0
597,1,0,0,0,0,1,0,1,0,0
598,0,1,0,0,0,1,1,1,0,0
599,0,1,0,0,0,1,1,1,1,1
600,0,1,0,0,0,1,1,1,0,0
601,1,0,0,0,1,0,0,0,0,0
602,1,1,0,0,0,1,0,0,0,0
603,1,1,0,0,0,1,0,0,0,0
604,1,0,0,0,0,1,1,0,0,0
605,0,1,0,0,0,1,0,0,0,0
606,1,0,0,0,0,1,0,0,0,0
607,1,0,0,0,0,0,0,0,0,0
608,1,1,0,0,1,1,0,0,0,1
609,1,0,0,0,0,1,0,0,0,0
610,1,1,0,0,0,1,0,0,0,1
611,1,0,0,0,0,1,0,0,0,0
612,1,1,0,0,0,1,0,0,0,0
613,1,0,0,0,0,1,0,0,0,0
614,1,0,0,0,0,1,0,0,0,0
615,1,0,0,0,0,1,0,0,0,0
616,1,1,0,0,0,1,0,0,0,0
617,1,0,0,0,0,1,0,0,0,0
618,1,0,0,0,0,0,0,0,0,0
619,1,1,0,0,0,1,0,0,0,0
620,1,1,0,0,0,1,1,1,0,0
621,0,1,0,0,0,1,0,0,0,0
622,1,1,0,0,0,1,0,0,0,0
623,1,0,0,0,0,1,0,0,0,0
624,1,0,0,0,0,1,0,0,0,1
625,1,0,0,0,1,1,0,1,1,0
626,1,0,0,0,0,0,0,0,0,1
627,1,1,0,0,0,1,0,0,0,1
628,1,1,0,0,0,0,1,0,0,0
629,0,1,0,0,0,1,0,0,0,0
630,1,1,0,0,0,1,0,0,0,0
631,0,1,0,0,0,0,0,0,0,0
632,1,1,0,0,0,1,0,0,0,0
633,1,1,0,0,0,1,0,0,0,0
634,1,0,0,0,0,1,0,0,0,0
